"Dataset","Noise","Method","Mean_Cov","SD_Cov","Mean_Width","SD_Width","Total_Time","Mean_Time"
"LogNormal",3,"SPI",0.97147,0.0222172264586548,11.1365190047972,2.11792238606485,4.91999999999992,0.0491999999999992
"LogNormal",3,"Synthetic-only",0.9886,0.00119553039664115,13.214428452878,0.235456534647457,0.320000000000014,0.00320000000000015
"Student-t",0.25,"SCP",0.94782,0.0359652975277924,7.35517491935331,2.4840286707973,0,0
"Student-t",0.25,"RSA-CP (OT) (Ours)",0.934505,0.0378970225503511,6.40534221119429,1.68903071152684,0.569999999999979,0.00569999999999979
"Student-t",0.25,"SPI",0.94981,0.0158938683304302,6.65144244556475,0.925737689872761,4.65000000000002,0.0465000000000002
"Student-t",0.25,"Synthetic-only",0.94914,0.00416580597171056,6.43917963451667,0.201446365721053,0.150000000000006,0.00150000000000006
"Student-t",0.5,"SCP",0.94782,0.0359652975277924,7.35517491935331,2.4840286707973,0,0
"Student-t",0.5,"RSA-CP (OT) (Ours)",0.934755,0.0374967672007208,6.40872541229938,1.67948702193715,0.630000000000052,0.00630000000000052
"Student-t",0.5,"SPI",0.95164,0.0158104427834928,6.7485514006018,0.908102548012614,4.67999999999993,0.0467999999999993
"Student-t",0.5,"Synthetic-only",0.951855,0.00385356649708743,6.57989617904079,0.213648805644395,0.170000000000023,0.00170000000000023
"Student-t",1,"SCP",0.94782,0.0359652975277924,7.35517491935331,2.4840286707973,0,0
"Student-t",1,"RSA-CP (OT) (Ours)",0.93493,0.0376526536014704,6.42360671609647,1.69402764222526,0.510000000000012,0.00510000000000012
"Student-t",1,"SPI",0.9584,0.0167330496172978,7.23943134526571,0.909901403507136,4.77000000000005,0.0477000000000005
"Student-t",1,"Synthetic-only",0.962655,0.00195878621455825,7.34335261915754,0.19877958145733,0.199999999999974,0.00199999999999974
"Student-t",1.5,"SCP",0.94782,0.0359652975277924,7.35517491935331,2.4840286707973,0,0
"Student-t",1.5,"RSA-CP (OT) (Ours)",0.934955,0.03747767652048,6.42067676847987,1.69242556140927,0.619999999999983,0.00619999999999983
"Student-t",1.5,"SPI",0.96689,0.0199364622050284,8.0023030954826,1.16818651001417,4.5599999999999,0.045599999999999
"Student-t",1.5,"Synthetic-only",0.9758,0.00167573291669074,8.52731604428574,0.187905551444689,0.18,0.0018
"Student-t",2,"SCP",0.94782,0.0359652975277924,7.35517491935331,2.4840286707973,0,0
"Student-t",2,"RSA-CP (OT) (Ours)",0.935035,0.0376993191134291,6.44430852169108,1.73408344021531,0.57000000000005,0.0057000000000005
"Student-t",2,"SPI",0.97185,0.0226004491776226,8.7987127983581,1.67964187663136,4.82999999999999,0.0482999999999999
"Student-t",2,"Synthetic-only",0.98529,0.000951288334286459,10.0390537002324,0.199702329183836,0.109999999999964,0.00109999999999964
"Student-t",3,"SCP",0.94782,0.0359652975277924,7.35517491935331,2.4840286707973,0,0
"Student-t",3,"RSA-CP (OT) (Ours)",0.935435,0.0378911022710231,6.47153517652021,1.7572498179598,0.489999999999988,0.00489999999999988
"Student-t",3,"SPI",0.97585,0.0253404595240278,10.0457344545014,2.87123645769324,4.61999999999993,0.0461999999999993
"Student-t",3,"Synthetic-only",0.995725,0.000269445746117836,13.3770549173132,0.298127034559453,0.130000000000017,0.00130000000000017
