"Dataset","N_syn","Method","Mean_Cov","SD_Cov","Mean_Width","SD_Width","Total_Time","Mean_Time"
"LogNormal",1000,"SCP",0.952795,0.0281004776371211,10.0684175638074,2.2030920170423,0,0
"LogNormal",1000,"RSA-CP (OT) (Ours)",0.94095,0.0319994870539697,9.12134956064779,1.74054049758924,0.48,0.0048
"LogNormal",1000,"SPI",0.960045,0.0208855823597297,10.4396130494882,1.90816263472384,1.63999999999999,0.0163999999999999
"LogNormal",1000,"Synthetic-only",0.962905,0.0207899177924825,10.894347502399,2.52630385040187,0.129999999999998,0.00129999999999998
"LogNormal",2000,"SCP",0.952795,0.0281004776371211,10.0684175638074,2.2030920170423,0.0400000000000027,0.000400000000000027
"LogNormal",2000,"RSA-CP (OT) (Ours)",0.94039,0.0319735196623074,9.08698062141938,1.74059366694402,0.669999999999991,0.00669999999999991
"LogNormal",2000,"SPI",0.96109,0.0198203267767046,10.5206512960946,2.00374859093953,3.19000000000001,0.0319000000000001
"LogNormal",2000,"Synthetic-only",0.96401,0.0187153019011857,10.8784303544227,2.32968937329391,0.210000000000007,0.00210000000000007
"LogNormal",3000,"SCP",0.952795,0.0281004776371211,10.0684175638074,2.2030920170423,0.0300000000000047,0.000300000000000047
"LogNormal",3000,"RSA-CP (OT) (Ours)",0.940315,0.0319782640036458,9.08248127275882,1.72527119409148,0.750000000000009,0.00750000000000009
"LogNormal",3000,"SPI",0.959245,0.0184498357552023,10.2081569056561,1.78305708612674,4.85999999999999,0.0485999999999999
"LogNormal",3000,"Synthetic-only",0.963105,0.0157567197465627,10.5634818087928,1.97544537836271,0.249999999999996,0.00249999999999996
"Student-t",50,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0.00999999999999801,9.99999999999801e-05
"Student-t",50,"RSA-CP (OT) (Ours)",0.950395,0.0367733499653862,7.60899028189118,3.08371140385855,0.359999999999997,0.00359999999999997
"Student-t",50,"SPI",0.9956,0.0100594194261855,17.8430328650196,5.50546628984333,0.140000000000001,0.00140000000000001
"Student-t",50,"Synthetic-only",0.98837,0.0203408605044282,13.2587518487192,4.03921999174415,0.0399999999999976,0.000399999999999976
"Student-t",100,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0.0199999999999996,0.000199999999999996
"Student-t",100,"RSA-CP (OT) (Ours)",0.94157,0.040237114130307,6.88086125486742,2.31645261946144,0.250000000000006,0.00250000000000006
"Student-t",100,"SPI",0.975445,0.0246907023559129,9.67673297258317,3.14367482602909,0.259999999999989,0.00259999999999989
"Student-t",100,"Synthetic-only",0.989145,0.0138897707800825,12.1199202406118,3.03090825149172,0.0399999999999974,0.000399999999999974
"Student-t",250,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0,0
"Student-t",250,"RSA-CP (OT) (Ours)",0.94233,0.0394747854569051,6.90057381212197,2.27517328637654,0.430000000000006,0.00430000000000006
"Student-t",250,"SPI",0.97523,0.0237809256388902,9.26972396282098,2.63311477103629,0.440000000000005,0.00440000000000005
"Student-t",250,"Synthetic-only",0.991055,0.00673783790217305,11.6990771578316,2.19257897182813,0.0699999999999985,0.000699999999999985
"Student-t",500,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0,0
"Student-t",500,"RSA-CP (OT) (Ours)",0.93879,0.0411366397669174,6.69639855670929,2.13984867520176,0.349999999999999,0.00349999999999999
"Student-t",500,"SPI",0.976235,0.0241691696718415,9.42430512267729,2.55993954039598,0.859999999999991,0.00859999999999991
"Student-t",500,"Synthetic-only",0.993025,0.0030078810622843,11.8799962403008,1.46619116022117,0.0399999999999956,0.000399999999999956
"Student-t",1000,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0,0
"Student-t",1000,"RSA-CP (OT) (Ours)",0.93857,0.0407184853660478,6.64107177937123,2.02983225624983,0.439999999999999,0.00439999999999999
"Student-t",1000,"SPI",0.97619,0.0241081087829574,9.34008587409918,2.39650385071329,1.68,0.0168
"Student-t",1000,"Synthetic-only",0.99283,0.00190058470535313,11.5589413124912,1.02776193371278,0.0599999999999996,0.000599999999999996
"Student-t",2000,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0.0399999999999991,0.000399999999999991
"Student-t",2000,"RSA-CP (OT) (Ours)",0.938205,0.0407465122136332,6.59697771940591,1.96348540366493,0.570000000000003,0.00570000000000003
"Student-t",2000,"SPI",0.976215,0.0241145472461933,9.33154188848895,2.35673856557767,3.18000000000001,0.0318000000000001
"Student-t",2000,"Synthetic-only",0.99308,0.00167982683090198,11.6235501571971,0.811916038332188,0.160000000000002,0.00160000000000002
"Student-t",3000,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0,0
"Student-t",3000,"RSA-CP (OT) (Ours)",0.938225,0.0406269910157016,6.60694006529103,1.98189202643305,0.650000000000002,0.00650000000000002
"Student-t",3000,"SPI",0.976255,0.0241324726742565,9.28966583678471,2.28214643798969,4.70999999999998,0.0470999999999998
"Student-t",3000,"Synthetic-only",0.993355,0.000888464229369255,11.6256908887256,0.578529009677417,0.199999999999993,0.00199999999999993
