"Dataset","N_syn","Method","Mean_Cov","SD_Cov","Mean_Width","SD_Width","Total_Time","Mean_Time","Experiment","Noise","N_cal","Score_Distribution","Shock_Probability"
"Student-t",3000,"RSA-CP (OT) (Ours)",0.938225,0.0406269910157016,6.60694006529103,1.98189202643305,0.650000000000002,0.00650000000000002,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",3000,"SPI",0.976255,0.0241324726742565,9.28966583678471,2.28214643798969,4.70999999999998,0.0470999999999998,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",3000,"Synthetic-only",0.993355,0.000888464229369255,11.6256908887256,0.578529009677417,0.199999999999993,0.00199999999999993,"Figure 3 reference score size",NA,NA,NA,NA
"LogNormal",NA,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0,"Figure 6 generator-noise stability",0.25,NA,NA,NA
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.938645,0.0302413937168807,8.58889971963185,1.82027509758958,0.670000000000016,0.00670000000000016,"Figure 6 generator-noise stability",0.25,NA,NA,NA
"LogNormal",NA,"SPI",0.926545,0.033131746120754,7.94549785600057,1.46041697114038,4.87999999999995,0.0487999999999995,"Figure 6 generator-noise stability",0.25,NA,NA,NA
"LogNormal",NA,"Synthetic-only",0.727665,0.00174664902836341,4.28668292607831,0.0230992598684958,0.239999999999981,0.00239999999999981,"Figure 6 generator-noise stability",0.25,NA,NA,NA
"LogNormal",NA,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0,"Figure 6 generator-noise stability",0.5,NA,NA,NA
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.938945,0.0301303477168013,8.58963256699118,1.7690273589057,0.539999999999985,0.00539999999999985,"Figure 6 generator-noise stability",0.5,NA,NA,NA
"LogNormal",NA,"SPI",0.926545,0.033131746120754,7.94549785600057,1.46041697114038,4.83000000000007,0.0483000000000007,"Figure 6 generator-noise stability",0.5,NA,NA,NA
"LogNormal",NA,"Synthetic-only",0.805885,0.00318047626825438,5.04298013466154,0.0390467301161644,0.279999999999966,0.00279999999999966,"Figure 6 generator-noise stability",0.5,NA,NA,NA
"LogNormal",NA,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0,"Figure 6 generator-noise stability",1,NA,NA,NA
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.938165,0.0303657880822907,8.56247609744325,1.79627314630005,0.549999999999969,0.00549999999999969,"Figure 6 generator-noise stability",1,NA,NA,NA
"LogNormal",NA,"SPI",0.930975,0.0263542662293005,8.03400743755529,1.35693713984801,4.98999999999991,0.0498999999999991,"Figure 6 generator-noise stability",1,NA,NA,NA
"LogNormal",NA,"Synthetic-only",0.899905,0.00235025788398042,6.6390763108859,0.0790363156492644,0.329999999999998,0.00329999999999998,"Figure 6 generator-noise stability",1,NA,NA,NA
"LogNormal",NA,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0,"Figure 6 generator-noise stability",1.5,NA,NA,NA
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.93864,0.0301373187227726,8.57947009039052,1.77709608071706,0.560000000000038,0.00560000000000038,"Figure 6 generator-noise stability",1.5,NA,NA,NA
"LogNormal",NA,"SPI",0.94695,0.0152165347334053,8.67168601555826,0.952443631122069,5.00000000000006,0.0500000000000006,"Figure 6 generator-noise stability",1.5,NA,NA,NA
"LogNormal",NA,"Synthetic-only",0.941915,0.00341125217686136,8.32816657700426,0.114266335577033,0.320000000000029,0.00320000000000029,"Figure 6 generator-noise stability",1.5,NA,NA,NA
"LogNormal",NA,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0,"Figure 6 generator-noise stability",2,NA,NA,NA
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.938495,0.0303681530920506,8.56916878595067,1.77801769356866,0.479999999999947,0.00479999999999947,"Figure 6 generator-noise stability",2,NA,NA,NA
"LogNormal",NA,"SPI",0.96193,0.0165106363024297,9.55311490532376,0.977962760040083,4.75000000000001,0.0475000000000001,"Figure 6 generator-noise stability",2,NA,NA,NA
"LogNormal",NA,"Synthetic-only",0.969375,0.00155598388763698,9.92666060639295,0.148629448070084,0.190000000000005,0.00190000000000005,"Figure 6 generator-noise stability",2,NA,NA,NA
"LogNormal",NA,"SCP",0.949435,0.0283728472239915,9.40075243266967,2.55525955334405,0,0,"Figure 6 generator-noise stability",3,NA,NA,NA
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.9385,0.0303369128757078,8.57318869525354,1.76626393797377,0.570000000000057,0.00570000000000057,"Figure 6 generator-noise stability",3,NA,NA,NA
"LogNormal",NA,"SPI",0.97147,0.0222172264586548,11.1365190047972,2.11792238606485,4.91999999999992,0.0491999999999992,"Figure 6 generator-noise stability",3,NA,NA,NA
"LogNormal",NA,"Synthetic-only",0.9886,0.00119553039664115,13.214428452878,0.235456534647457,0.320000000000014,0.00320000000000015,"Figure 6 generator-noise stability",3,NA,NA,NA
"Student-t",NA,"SCP",0.94782,0.0359652975277924,7.35517491935331,2.4840286707973,0,0,"Figure 6 generator-noise stability",0.25,NA,NA,NA
"Student-t",NA,"RSA-CP (OT) (Ours)",0.934505,0.0378970225503511,6.40534221119429,1.68903071152684,0.569999999999979,0.00569999999999979,"Figure 6 generator-noise stability",0.25,NA,NA,NA
"Student-t",NA,"SPI",0.94981,0.0158938683304302,6.65144244556475,0.925737689872761,4.65000000000002,0.0465000000000002,"Figure 6 generator-noise stability",0.25,NA,NA,NA
"Student-t",NA,"Synthetic-only",0.94914,0.00416580597171056,6.43917963451667,0.201446365721053,0.150000000000006,0.00150000000000006,"Figure 6 generator-noise stability",0.25,NA,NA,NA
"Student-t",NA,"SCP",0.94782,0.0359652975277924,7.35517491935331,2.4840286707973,0,0,"Figure 6 generator-noise stability",0.5,NA,NA,NA
"Student-t",NA,"RSA-CP (OT) (Ours)",0.934755,0.0374967672007208,6.40872541229938,1.67948702193715,0.630000000000052,0.00630000000000052,"Figure 6 generator-noise stability",0.5,NA,NA,NA
