figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,14,348525,0.9109333333333334,3.0922666666666667,prediction_set_size,standard_reference,0.9972869104499671
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,14,348525,0.9658,8.434666666666667,prediction_set_size,spi_fast_form,0.9999504601632341
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,14,348525,0.9992,29.7978,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,15,8277021,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,15,8277021,0.9067333333333333,2.638133333333333,prediction_set_size,standard_reference,0.995339459162604
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,15,8277021,0.9074,2.6582,prediction_set_size,spi_fast_form,0.9954653675218996
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,15,8277021,0.99,29.9678,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,16,3118312,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,16,3118312,0.8884,2.2476666666666665,prediction_set_size,standard_reference,0.9913883802081653
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,16,3118312,0.9786,11.126533333333333,prediction_set_size,spi_fast_form,0.9999883097661856
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,16,3118312,0.9926,28.146333333333335,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,17,4091990,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,17,4091990,0.9114,2.8208,prediction_set_size,standard_reference,0.9965313407416473
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,17,4091990,0.9116,2.8415333333333335,prediction_set_size,spi_fast_form,0.996629613854758
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,17,4091990,0.999,29.9928,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,18,2569919,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,18,2569919,0.8974,2.626533333333333,prediction_set_size,standard_reference,0.9952324040617655
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,18,2569919,0.9734666666666667,10.253333333333334,prediction_set_size,spi_fast_form,0.9999817585626297
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,18,2569919,0.9129333333333334,22.062333333333335,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,19,5495936,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,19,5495936,0.9005333333333333,2.6234,prediction_set_size,standard_reference,0.9952320191978268
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,19,5495936,0.9952666666666666,26.038666666666668,prediction_set_size,spi_fast_form,0.9999991035978442
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,19,5495936,0.9046,6.5582666666666665,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,0,2492284,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,0,2492284,0.8931333333333333,2.312666666666667,prediction_set_size,standard_reference,0.9924873791077301
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,0,2492284,0.8948,2.341066666666667,prediction_set_size,spi_fast_form,0.99281550059823
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,0,2492284,0.8618666666666667,1.8328,prediction_set_size,rsa_cp_barycentric_ot_betabin,
