figure,dataset,age_group,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,8,857393,0.945,3.2788503239526756,interval_width,rsa_cp_barycentric_ot_betabin,0.2978035656541174
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,9,4233261,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,9,4233261,0.96,3.5886675995963744,interval_width,standard_reference,0.49225854873657227
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,9,4233261,0.985,4.329047171511047,interval_width,spi_fast_form,0.8624483346939087
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,9,4233261,0.985,4.470040297237329,interval_width,rsa_cp_barycentric_ot_betabin,0.9329448975570489
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,10,9504621,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,10,9504621,0.975,3.7387154120989727,interval_width,standard_reference,0.4533803462982178
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,10,9504621,0.98,3.9919209498949932,interval_width,spi_fast_form,0.579983115196228
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,10,9504621,0.98,4.6251344723773995,interval_width,rsa_cp_barycentric_ot_betabin,0.8965898764374305
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,11,5118207,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,11,5118207,0.975,3.4404081547315584,interval_width,standard_reference,0.44366395473480225
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,11,5118207,0.975,3.4625472271497713,interval_width,spi_fast_form,0.4547334909439087
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,11,5118207,0.97,3.1794020475462235,interval_width,rsa_cp_barycentric_ot_betabin,0.31316090114213485
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,12,8690244,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,12,8690244,0.945,3.769187006475404,interval_width,standard_reference,0.468267560005188
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,12,8690244,0.945,3.7752402157802134,interval_width,spi_fast_form,0.4712941646575928
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,12,8690244,0.94,3.3791933250895148,interval_width,rsa_cp_barycentric_ot_betabin,0.27327071931224317
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,13,8229426,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,13,8229426,0.93,3.826673519187316,interval_width,standard_reference,0.4487595558166504
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,13,8229426,0.93,3.8359151001504506,interval_width,spi_fast_form,0.4533803462982178
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,13,8229426,0.87,2.929154407554015,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,14,348525,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,14,348525,0.985,4.021831324741942,interval_width,standard_reference,0.6883480548858643
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,14,348525,0.985,4.036048701450927,interval_width,spi_fast_form,0.6954567432403564
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,14,348525,0.96,3.4710247046013865,interval_width,rsa_cp_barycentric_ot_betabin,0.412944744815586
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,15,8277021,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,15,8277021,0.96,3.730010901983769,interval_width,standard_reference,0.5520641803741455
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,15,8277021,0.96,3.7413434138856245,interval_width,spi_fast_form,0.5577304363250732
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,15,8277021,0.87,2.625882541235478,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,16,3118312,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,16,3118312,0.965,3.613642017758975,interval_width,standard_reference,0.4547334909439087
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,16,3118312,0.965,3.657323877729068,interval_width,spi_fast_form,0.4765744209289551
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,16,3118312,0.965,3.5755532170898308,interval_width,rsa_cp_barycentric_ot_betabin,0.43568909060933586
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,17,4091990,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,17,4091990,0.975,3.889864491368935,interval_width,standard_reference,0.600050687789917
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,17,4091990,0.975,3.8972926606194234,interval_width,spi_fast_form,0.6037647724151611
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,17,4091990,0.885,2.689763115789101,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,18,2569919,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,18,2569919,0.94,3.5606731271746686,interval_width,standard_reference,0.39829087257385254
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,18,2569919,0.94,3.6077774858477643,interval_width,spi_fast_form,0.4218430519104004
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,18,2569919,0.92,3.2072330890197893,interval_width,rsa_cp_barycentric_ot_betabin,0.2215708534964134
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,19,5495936,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,19,5495936,0.93,3.4133216923166767,interval_width,standard_reference,0.4218430519104004
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,19,5495936,0.94,3.5167753284861103,interval_width,spi_fast_form,0.4735698699951172
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,19,5495936,0.87,2.569635588495876,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,0,2492284,0.87,2.7822388356225565,interval_width,standard_real,0.20471316576004028
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,0,2492284,0.875,2.7944920008676126,interval_width,standard_reference,0.21083974838256836
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,0,2492284,0.885,2.8116068785684183,interval_width,spi_fast_form,0.2193971872329712
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,0,2492284,0.845,2.5528096521278907,interval_width,rsa_cp_barycentric_ot_betabin,0.0899985740127075
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,1,6438288,0.97,4.717843049257063,interval_width,standard_real,1.2113559246063232
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,1,6438288,0.9,2.886423581331037,interval_width,standard_reference,0.29564619064331055
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,1,6438288,0.9,2.9066376621415837,interval_width,spi_fast_form,0.305753231048584
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,1,6438288,0.95,3.797208097672247,interval_width,rsa_cp_barycentric_ot_betabin,0.7510384488139159
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,2,275592,0.965,3.9406756849295927,interval_width,standard_real,0.8130797147750854
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,2,275592,0.93,2.926926562309964,interval_width,standard_reference,0.306205153465271
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,2,275592,0.93,2.927340218544705,interval_width,spi_fast_form,0.3064119815826416
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,2,275592,0.96,3.5509525441020093,interval_width,rsa_cp_barycentric_ot_betabin,0.6182181443612942
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,3,2731692,0.94,3.251316977520473,interval_width,standard_real,0.416873574256897
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,3,2731692,0.925,3.074077797909267,interval_width,standard_reference,0.32825398445129395
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,3,2731692,0.925,3.0865585336880756,interval_width,spi_fast_form,0.33449435234069824
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,3,2731692,0.91,2.965102093275848,interval_width,rsa_cp_barycentric_ot_betabin,0.27376613213458423
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,4,1441594,0.95,3.706508898383472,interval_width,standard_real,0.694709300994873
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,4,1441594,0.91,2.948412680274341,interval_width,standard_reference,0.3156611919403076
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,4,1441594,0.91,2.9727483030618167,interval_width,spi_fast_form,0.3278290033340454
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,4,1441594,0.945,3.5497257456027085,interval_width,rsa_cp_barycentric_ot_betabin,0.6163177246044912
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,5,7551662,0.82,2.348457875988679,interval_width,standard_real,-0.0001766798086464405
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,5,7551662,0.885,3.095562544047134,interval_width,standard_reference,0.37337565422058105
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,5,7551662,0.885,3.1115547086589506,interval_width,spi_fast_form,0.38137173652648926
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,5,7551662,0.82,2.348811235605972,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,6,4731878,0.9,3.191445530788042,interval_width,standard_real,0.40124011039733887
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,6,4731878,0.9,3.0728821171680467,interval_width,standard_reference,0.3419584035873413
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,6,4731878,0.9,3.0908140553394334,interval_width,spi_fast_form,0.35092437267303467
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,6,4731878,0.845,2.388965309993364,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,7,9486483,0.94,3.4922748325101565,interval_width,standard_real,0.5575432777404785
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,7,9486483,0.925,3.049574446462793,interval_width,standard_reference,0.3361930847167969
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,7,9486483,0.925,3.061105084203882,interval_width,spi_fast_form,0.3419584035873413
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,7,9486483,0.875,2.5897007641533936,interval_width,rsa_cp_barycentric_ot_betabin,0.10625624356209742
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,8,857393,0.925,3.249097525776597,interval_width,standard_real,0.45801758766174316
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,8,857393,0.885,3.002051055134507,interval_width,standard_reference,0.33449435234069824
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,8,857393,0.89,3.021924674214097,interval_width,spi_fast_form,0.34443116188049316
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,8,857393,0.905,3.146555954516024,interval_width,rsa_cp_barycentric_ot_betabin,0.4067468020314573
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,9,4233261,0.995,6.012829475787003,interval_width,standard_real,1.8597791194915771
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,9,4233261,0.92,3.0281583599117585,interval_width,standard_reference,0.3674435615539551
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,9,4233261,0.96,3.5082582763698884,interval_width,spi_fast_form,0.60749351978302
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,9,4233261,0.98,4.3228565018488,interval_width,rsa_cp_barycentric_ot_betabin,1.014792632522476
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,10,9504621,0.985,5.218469306598418,interval_width,standard_real,1.3809894323349
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,10,9504621,0.925,2.879108324418776,interval_width,standard_reference,0.21130894124507904
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,10,9504621,0.925,2.89528481639456,interval_width,spi_fast_form,0.2193971872329712
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,10,9504621,0.98,3.848708159115548,interval_width,rsa_cp_barycentric_ot_betabin,0.6961088585934655
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,11,5118207,0.975,3.629555171105312,interval_width,standard_real,0.6885734796524048
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,11,5118207,0.92,2.700055544945644,interval_width,standard_reference,0.2238236665725708
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,11,5118207,0.92,2.7050563746422993,interval_width,spi_fast_form,0.22632408142089844
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,11,5118207,0.855,2.318071264493134,interval_width,rsa_cp_barycentric_ot_betabin,0.03283152634631541
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,12,8690244,0.935,3.6342964960914106,interval_width,standard_real,0.5820589065551758
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,12,8690244,0.89,2.957659800229594,interval_width,standard_reference,0.24374055862426758
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,12,8690244,0.895,2.963490565000102,interval_width,spi_fast_form,0.24665594100952148
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,12,8690244,0.895,2.972480925274611,interval_width,rsa_cp_barycentric_ot_betabin,0.25115112114677574
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,13,8229426,0.835,2.677533068556804,interval_width,standard_real,0.074007548391819
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,13,8229426,0.86,2.8735305898380465,interval_width,standard_reference,0.17200630903244019
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,13,8229426,0.86,2.901106678743381,interval_width,spi_fast_form,0.18579435348510742
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,13,8229426,0.825,2.529517971773166,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,14,348525,0.95,3.390299641470192,interval_width,standard_real,0.5313440561294556
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,14,348525,0.94,3.0953255528013686,interval_width,standard_reference,0.38385701179504395
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,14,348525,0.94,3.1043420666258315,interval_width,spi_fast_form,0.3883652687072754
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,14,348525,0.92,2.934994018597113,interval_width,rsa_cp_barycentric_ot_betabin,0.3036912446929159
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,15,8277021,0.825,2.4925759213382843,interval_width,standard_real,0.09702539443969727
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,15,8277021,0.895,2.9663827794010285,interval_width,standard_reference,0.33392882347106934
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,15,8277021,0.895,2.9698198216373566,interval_width,spi_fast_form,0.3356473445892334
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,15,8277021,0.79,2.29852513245889,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,16,3118312,0.985,3.8308659983146938,interval_width,standard_real,0.7379077672958374
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,16,3118312,0.93,2.8892830801475795,interval_width,standard_reference,0.2671163082122803
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,16,3118312,0.93,2.8892897558677944,interval_width,spi_fast_form,0.2671196460723877
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,16,3118312,0.91,2.712341629922109,interval_width,rsa_cp_barycentric_ot_betabin,0.17864558309954534
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,17,4091990,0.895,2.8119765804742927,interval_width,standard_real,0.23263780772686005
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,17,4091990,0.905,2.999511359784519,interval_width,standard_reference,0.32640519738197327
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,17,4091990,0.905,3.0032089339231605,interval_width,spi_fast_form,0.32825398445129395
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,17,4091990,0.875,2.6231898423124416,interval_width,rsa_cp_barycentric_ot_betabin,0.1382444386459346
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,18,2569919,0.955,3.78360496011097,interval_width,standard_real,0.6926469802856445
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,18,2569919,0.9,2.891395907071419,interval_width,standard_reference,0.24654245376586914
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,18,2569919,0.9,2.8969741865666583,interval_width,spi_fast_form,0.24933159351348877
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,18,2569919,0.93,3.2982691836489613,interval_width,rsa_cp_barycentric_ot_betabin,0.4499790920546399
Figure 9,MEPS,40-60,SCP,0.1,0.9,15,1000,200,19,5495936,0.745,2.223426430041436,interval_width,standard_real,-0.012804941274225712
Figure 9,MEPS,40-60,Synthetic-only,0.1,0.9,15,1000,200,19,5495936,0.865,2.709141731748823,interval_width,standard_reference,0.23005270957946777
Figure 9,MEPS,40-60,SPI,0.1,0.9,15,1000,200,19,5495936,0.875,2.73466324854875,interval_width,spi_fast_form,0.24281346797943115
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,19,5495936,0.81,2.2490363125898876,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,0,2492284,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,0,2492284,0.96,5.052283044023498,interval_width,standard_reference,1.1516714096069336
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,0,2492284,0.96,5.0839736415576775,interval_width,spi_fast_form,1.1675167083740234
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,0,2492284,0.84,3.455918329930014,interval_width,rsa_cp_barycentric_ot_betabin,0.3534890525601916
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,1,6438288,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,1,6438288,0.95,4.9979648073751015,interval_width,standard_reference,1.1246185302734375
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,1,6438288,0.955,5.019630380495219,interval_width,spi_fast_form,1.135451316833496
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,1,6438288,0.865,4.212192566609887,interval_width,rsa_cp_barycentric_ot_betabin,0.7317324098908298
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,2,275592,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,2,275592,0.96,5.2333987128778245,interval_width,standard_reference,1.2376102209091187
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,2,275592,0.96,5.238108195070818,interval_width,spi_fast_form,1.2399649620056152
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,2,275592,0.8,3.0691402513584785,interval_width,rsa_cp_barycentric_ot_betabin,0.15548099014944589
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,3,2731692,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,3,2731692,0.94,5.153409952442744,interval_width,standard_reference,1.2157933712005615
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,3,2731692,0.94,5.164248937885859,interval_width,spi_fast_form,1.2212128639221191
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,3,2731692,0.71,2.95014828541894,interval_width,rsa_cp_barycentric_ot_betabin,0.11416253768865955
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,4,1441594,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,4,1441594,0.935,5.019213861238386,interval_width,standard_reference,1.1246185302734375
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,4,1441594,0.98,6.059927171480085,interval_width,spi_fast_form,1.644975185394287
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,4,1441594,0.995,7.045705348996693,interval_width,rsa_cp_barycentric_ot_betabin,2.1378642741525904
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,5,7551662,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,5,7551662,0.95,5.056514822312165,interval_width,standard_reference,1.178795337677002
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,5,7551662,0.95,5.072581373520661,interval_width,spi_fast_form,1.18682861328125
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,5,7551662,0.855,3.5201738880868074,interval_width,rsa_cp_barycentric_ot_betabin,0.41062487056432284
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,6,4731878,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,6,4731878,0.965,5.232582232178829,interval_width,standard_reference,1.2680461406707764
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,6,4731878,0.965,5.260418554963253,interval_width,spi_fast_form,1.2819643020629883
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,6,4731878,0.965,5.261926288303133,interval_width,rsa_cp_barycentric_ot_betabin,1.2827181687329288
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,7,9486483,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,7,9486483,0.945,5.039386194127437,interval_width,standard_reference,1.2208380699157715
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,7,9486483,0.95,5.0729304961141315,interval_width,spi_fast_form,1.2376102209091187
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,7,9486483,0.845,3.8878982143033833,interval_width,rsa_cp_barycentric_ot_betabin,0.6450940800037449
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,8,857393,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,8,857393,0.94,4.985815174817398,interval_width,standard_reference,1.144543170928955
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,8,857393,0.94,5.05108798289235,interval_width,spi_fast_form,1.1771795749664307
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,8,857393,0.765,3.0811736179965137,interval_width,rsa_cp_barycentric_ot_betabin,0.19222239251851225
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,9,4233261,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,9,4233261,0.94,5.234403675523936,interval_width,standard_reference,1.2434258460998535
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,9,4233261,0.94,5.246714657274424,interval_width,spi_fast_form,1.2495813369750977
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,9,4233261,0.94,5.0098003899986665,interval_width,rsa_cp_barycentric_ot_betabin,1.1311242033372189
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,10,9504621,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,10,9504621,0.93,5.233884213186102,interval_width,standard_reference,1.144543170928955
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,10,9504621,0.93,5.248140690542059,interval_width,spi_fast_form,1.1516714096069336
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,10,9504621,0.98,5.990242016462149,interval_width,rsa_cp_barycentric_ot_betabin,1.5227220725669792
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,11,5118207,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,11,5118207,0.975,5.234492716121604,interval_width,standard_reference,1.232692003250122
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,11,5118207,0.975,5.268271383571555,interval_width,spi_fast_form,1.2495813369750977
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,11,5118207,0.96,4.599897368631086,interval_width,rsa_cp_barycentric_ot_betabin,0.9153943295048628
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,12,8690244,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,12,8690244,0.955,5.36397714282648,interval_width,standard_reference,1.2915170192718506
Figure 9,MEPS,60-100,SPI,0.05,0.95,15,1000,200,12,8690244,0.955,5.373853870884341,interval_width,spi_fast_form,1.2964553833007812
Figure 9,MEPS,60-100,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,12,8690244,0.9,4.405719451344489,interval_width,rsa_cp_barycentric_ot_betabin,0.8123881735308548
Figure 9,MEPS,60-100,SCP,0.05,0.95,15,1000,200,13,8229426,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,60-100,Synthetic-only,0.05,0.95,15,1000,200,13,8229426,0.92,5.1846817462725445,interval_width,standard_reference,1.2495813369750977
