figure,dataset,age_group,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,17,4091990,0.94,3.9719979856934513,interval_width,spi_fast_form,0.4912060499191284
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,17,4091990,0.865,3.055555606555621,interval_width,rsa_cp_barycentric_ot_betabin,0.032984860350213356
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,18,2569919,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,18,2569919,0.95,3.571565524816979,interval_width,standard_reference,0.48155665397644043
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,18,2569919,0.95,3.5826162259583363,interval_width,spi_fast_form,0.48708200454711914
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,18,2569919,0.945,3.3553589857606014,interval_width,rsa_cp_barycentric_ot_betabin,0.37345338444825193
Figure 9,MEPS,0-20,SCP,0.05,0.95,15,1000,200,19,5495936,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,0-20,Synthetic-only,0.05,0.95,15,1000,200,19,5495936,0.935,3.579940733658441,interval_width,standard_reference,0.5468635559082031
Figure 9,MEPS,0-20,SPI,0.05,0.95,15,1000,200,19,5495936,0.935,3.6037654254309017,interval_width,spi_fast_form,0.5587759017944336
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,19,5495936,0.915,3.3807048269163165,interval_width,rsa_cp_barycentric_ot_betabin,0.4472456025371411
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,0,2492284,0.91,2.7291709074634127,interval_width,standard_real,0.20813536643981934
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,0,2492284,0.915,2.789546597923618,interval_width,standard_reference,0.23832321166992188
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,0,2492284,0.915,2.7936679014819674,interval_width,spi_fast_form,0.24038386344909668
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,0,2492284,0.805,2.312900174583774,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,1,6438288,0.83,2.090264073999133,interval_width,standard_real,0.01771913655102253
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,1,6438288,0.895,2.5451042833342217,interval_width,standard_reference,0.2451392412185669
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,1,6438288,0.895,2.562595862390008,interval_width,spi_fast_form,0.25388503074645996
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,1,6438288,0.795,2.054825800897088,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,2,275592,0.825,2.3541333718167152,interval_width,standard_real,0.03429459035396576
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,2,275592,0.875,2.7617848260269966,interval_width,standard_reference,0.23812031745910645
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,2,275592,0.88,2.766311918006977,interval_width,spi_fast_form,0.24038386344909668
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,2,275592,0.775,2.295955013221479,interval_width,rsa_cp_barycentric_ot_betabin,0.005205411056347622
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,3,2731692,0.98,3.941362062219996,interval_width,standard_real,0.850317120552063
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,3,2731692,0.905,2.675971666101832,interval_width,standard_reference,0.21762192249298096
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,3,2731692,0.91,2.6943420560401865,interval_width,spi_fast_form,0.2268071174621582
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,3,2731692,0.965,3.3574392310248053,interval_width,rsa_cp_barycentric_ot_betabin,0.5583557049544675
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,4,1441594,0.965,3.795328832496889,interval_width,standard_real,0.7829456329345703
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,4,1441594,0.905,2.5377969511644913,interval_width,standard_reference,0.15417969226837158
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,4,1441594,0.915,2.6885335215227677,interval_width,spi_fast_form,0.22954797744750977
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,4,1441594,0.945,3.459158072420191,interval_width,rsa_cp_barycentric_ot_betabin,0.6148602528962214
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,5,7551662,0.995,5.494739186038496,interval_width,standard_real,1.6682438850402832
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,5,7551662,0.885,2.5360428206820504,interval_width,standard_reference,0.18889570236206055
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,5,7551662,0.885,2.556654822101118,interval_width,spi_fast_form,0.19920170307159424
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,5,7551662,0.995,4.66416421388922,interval_width,rsa_cp_barycentric_ot_betabin,1.2529563989656454
Figure 9,MEPS,0-20,SCP,0.1,0.9,15,1000,200,6,4731878,0.985,4.765632849024842,interval_width,standard_real,1.1219741106033325
Figure 9,MEPS,0-20,Synthetic-only,0.1,0.9,15,1000,200,6,4731878,0.89,2.900763016032288,interval_width,standard_reference,0.18953919410705566
Figure 9,MEPS,0-20,SPI,0.1,0.9,15,1000,200,6,4731878,0.9,2.927545528697083,interval_width,spi_fast_form,0.20293045043945312
Figure 9,MEPS,0-20,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,6,4731878,0.905,2.9890487231052294,interval_width,rsa_cp_barycentric_ot_betabin,0.23368204764352604
