figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,16,3118312,0.9786,11.127533333333334,prediction_set_size,spi_fast_form,0.9999883097661856
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,16,3118312,0.9724,9.673066666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,17,4091990,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,17,4091990,0.9114,2.8152,prediction_set_size,standard_reference,0.9965066985660128
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,17,4091990,0.9582666666666667,6.769933333333333,prediction_set_size,spi_fast_form,0.9998785362208537
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,17,4091990,0.9266,3.9696,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,18,2569919,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,18,2569919,0.8990666666666667,2.6727333333333334,prediction_set_size,standard_reference,0.9955417806816632
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,18,2569919,0.9856666666666667,13.998,prediction_set_size,spi_fast_form,0.9999973280780777
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,18,2569919,0.9835333333333334,13.3018,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,19,5495936,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,19,5495936,0.9026666666666666,2.686733333333333,prediction_set_size,standard_reference,0.9956371169273885
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,19,5495936,0.9952666666666666,26.0394,prediction_set_size,spi_fast_form,0.9999991035978442
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,19,5495936,0.9256666666666666,4.251133333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,0,2492284,0.8668,1.8848666666666667,prediction_set_size,standard_real,0.9839493528159264
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,0,2492284,0.8398,1.6126,prediction_set_size,standard_reference,0.97114514363627
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,0,2492284,0.8400666666666666,1.6136666666666666,prediction_set_size,spi_fast_form,0.9712634079742035
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,0,2492284,0.8412666666666667,1.6242,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,1,6438288,0.986,13.709133333333334,prediction_set_size,standard_real,0.9999970513802754
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,1,6438288,0.8334,1.6102,prediction_set_size,standard_reference,0.9706945327832379
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,1,6438288,0.8338,1.6128666666666667,prediction_set_size,spi_fast_form,0.9708362860407368
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,1,6438288,0.8760666666666667,2.0761333333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,2,275592,0.9602666666666667,7.51,prediction_set_size,standard_real,0.9999192877007196
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,2,275592,0.8295333333333333,1.6064666666666667,prediction_set_size,standard_reference,0.9698724799072207
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,2,275592,0.9143333333333333,3.4122666666666666,prediction_set_size,spi_fast_form,0.9981883864524267
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,2,275592,0.9502,6.4206666666666665,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,3,2731692,0.9824666666666667,12.914666666666667,prediction_set_size,standard_real,0.9999953978828906
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,3,2731692,0.8194,1.5062666666666666,prediction_set_size,standard_reference,0.9620848627632432
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,3,2731692,0.8912666666666667,2.3221333333333334,prediction_set_size,spi_fast_form,0.992505981958631
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,3,2731692,0.9475333333333333,6.176666666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,4,1441594,0.971,9.4554,prediction_set_size,standard_real,0.9999727407147511
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,4,1441594,0.8391333333333333,1.6387333333333334,prediction_set_size,standard_reference,0.9722114063279922
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,4,1441594,0.8726,1.9984,prediction_set_size,spi_fast_form,0.9867726979010255
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,4,1441594,0.918,3.3428,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,5,7551662,0.9729333333333333,10.284266666666667,prediction_set_size,standard_real,0.9999824829915102
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,5,7551662,0.8473333333333334,1.7022,prediction_set_size,standard_reference,0.9762860488394388
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,5,7551662,0.8477333333333333,1.7054,prediction_set_size,spi_fast_form,0.9764771446422026
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,5,7551662,0.7699333333333334,1.2559333333333333,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,6,4731878,0.9406666666666667,5.5022,prediction_set_size,standard_real,0.999701744919819
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,6,4731878,0.8566666666666667,1.8339333333333334,prediction_set_size,standard_reference,0.9816399734361968
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,6,4731878,0.8707333333333334,2.0096,prediction_set_size,spi_fast_form,0.9868515334193333
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,6,4731878,0.8888,2.3296,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,7,9486483,0.9513333333333334,6.2956666666666665,prediction_set_size,standard_real,0.9998288541844006
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,7,9486483,0.8527333333333333,1.7412,prediction_set_size,standard_reference,0.9777412856035936
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,7,9486483,0.869,1.9133333333333333,prediction_set_size,spi_fast_form,0.984276434884459
