"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"SCP",0.984,8.99646425450112,0,"Student-t",3,500,500
"RSA-CP (OT) (Ours)",0.9815,8.55528900672492,0,"Student-t",3,500,500
"SPI",0.9915,10.5759486378552,0.01,"Student-t",3,500,500
"Synthetic-only",0.991,10.5138243536215,0,"Student-t",3,500,500
"SCP",0.984,8.99646425450112,0,"Student-t",3,1000,1000
"RSA-CP (OT) (Ours)",0.9825,8.59185007085622,0,"Student-t",3,1000,1000
"SPI",0.9915,10.5759486378552,0.03,"Student-t",3,1000,1000
"Synthetic-only",0.995,13.7520934480146,0,"Student-t",3,1000,1000
"SCP",0.984,8.99646425450112,0,"Student-t",3,2000,2000
"RSA-CP (OT) (Ours)",0.9815,8.55528900672492,0,"Student-t",3,2000,2000
"SPI",0.9915,10.5759486378552,0.03,"Student-t",3,2000,2000
"Synthetic-only",0.993,11.3794438849761,0,"Student-t",3,2000,2000
"SCP",0.984,8.99646425450112,0,"Student-t",3,3000,3000
"RSA-CP (OT) (Ours)",0.981,8.55134446733603,0.02,"Student-t",3,3000,3000
"SPI",0.9915,10.5759486378552,0.0499999999999998,"Student-t",3,3000,3000
"Synthetic-only",0.9935,11.8580283516044,0,"Student-t",3,3000,3000
"SCP",0.937,8.38387498245993,0,"LogNormal",4,50,50
"RSA-CP (OT) (Ours)",0.936,8.36997844477627,0,"LogNormal",4,50,50
"SPI",0.938,8.45933533337857,0.01,"LogNormal",4,50,50
"Synthetic-only",0.9375,8.40835214188736,0,"LogNormal",4,50,50
"SCP",0.937,8.38387498245993,0,"LogNormal",4,100,100
"RSA-CP (OT) (Ours)",0.93,8.1216111318749,0,"LogNormal",4,100,100
"SPI",0.947,8.73913498893088,0,"LogNormal",4,100,100
"Synthetic-only",0.938,8.42363479063804,0,"LogNormal",4,100,100
"SCP",0.937,8.38387498245993,0,"LogNormal",4,250,250
"RSA-CP (OT) (Ours)",0.93,8.09962033205155,0,"LogNormal",4,250,250
"SPI",0.9615,9.88266051696176,0.02,"LogNormal",4,250,250
"Synthetic-only",0.9925,16.7069006200733,0,"LogNormal",4,250,250
"SCP",0.937,8.38387498245993,0,"LogNormal",4,500,500
"RSA-CP (OT) (Ours)",0.9265,7.97689881186895,0,"LogNormal",4,500,500
"SPI",0.946,8.70905532245667,0.01,"LogNormal",4,500,500
"Synthetic-only",0.9375,8.39604152334901,0,"LogNormal",4,500,500
"SCP",0.937,8.38387498245993,0,"LogNormal",4,1000,1000
"RSA-CP (OT) (Ours)",0.9265,7.97689881186895,0,"LogNormal",4,1000,1000
"SPI",0.922,7.81968963710625,0.02,"LogNormal",4,1000,1000
"Synthetic-only",0.919,7.73984957090387,0,"LogNormal",4,1000,1000
"SCP",0.937,8.38387498245993,0,"LogNormal",4,2000,2000
"RSA-CP (OT) (Ours)",0.926,7.96668410965448,0.02,"LogNormal",4,2000,2000
"SPI",0.9515,8.99929776548088,0.0299999999999998,"LogNormal",4,2000,2000
"Synthetic-only",0.9505,8.88863877761313,0,"LogNormal",4,2000,2000
"SCP",0.937,8.38387498245993,0,"LogNormal",4,3000,3000
"RSA-CP (OT) (Ours)",0.926,7.96668410965448,0,"LogNormal",4,3000,3000
"SPI",0.9435,8.61690778006267,0.04,"LogNormal",4,3000,3000
"Synthetic-only",0.9435,8.61415161189815,0,"LogNormal",4,3000,3000
"SCP",0.896,4.78077218464965,0,"Student-t",4,50,50
"RSA-CP (OT) (Ours)",0.896,4.78062747317255,0,"Student-t",4,50,50
"SPI",0.993,11.0363712733743,0,"Student-t",4,50,50
"Synthetic-only",0.9355,5.81762779249399,0,"Student-t",4,50,50
"SCP",0.896,4.78077218464965,0,"Student-t",4,100,100
"RSA-CP (OT) (Ours)",0.8875,4.6379221754659,0,"Student-t",4,100,100
"SPI",0.8965,4.78317860891459,0,"Student-t",4,100,100
"Synthetic-only",0.9985,16.386317179952,0,"Student-t",4,100,100
"SCP",0.896,4.78077218464965,0,"Student-t",4,250,250
"RSA-CP (OT) (Ours)",0.8885,4.67718366006826,0.0100000000000002,"Student-t",4,250,250
"SPI",0.8965,4.78317860891459,0,"Student-t",4,250,250
"Synthetic-only",0.997,15.0346026831569,0,"Student-t",4,250,250
"SCP",0.896,4.78077218464965,0,"Student-t",4,500,500
"RSA-CP (OT) (Ours)",0.885,4.60453180438954,0,"Student-t",4,500,500
"SPI",0.8965,4.78317860891459,0.02,"Student-t",4,500,500
"Synthetic-only",0.9935,11.923896420049,0,"Student-t",4,500,500
"SCP",0.896,4.78077218464965,0,"Student-t",4,1000,1000
"RSA-CP (OT) (Ours)",0.8835,4.5220266234772,0,"Student-t",4,1000,1000
"SPI",0.8965,4.78317860891459,0.02,"Student-t",4,1000,1000
"Synthetic-only",0.9945,12.2116467247447,0,"Student-t",4,1000,1000
"SCP",0.896,4.78077218464965,0,"Student-t",4,2000,2000
"RSA-CP (OT) (Ours)",0.8835,4.5220266234772,0.00999999999999979,"Student-t",4,2000,2000
"SPI",0.8965,4.78317860891459,0.0300000000000002,"Student-t",4,2000,2000
"Synthetic-only",0.9865,9.45057950053279,0,"Student-t",4,2000,2000
"SCP",0.896,4.78077218464965,0,"Student-t",4,3000,3000
"RSA-CP (OT) (Ours)",0.8835,4.5220266234772,0,"Student-t",4,3000,3000
"SPI",0.8965,4.78317860891459,0.0499999999999998,"Student-t",4,3000,3000
"Synthetic-only",0.9935,11.5113075960711,0,"Student-t",4,3000,3000
"SCP",0.9685,10.973385873909,0,"LogNormal",5,50,50
"RSA-CP (OT) (Ours)",0.9685,10.964747696183,0,"LogNormal",5,50,50
"SPI",0.999,29.0224596160542,0.00999999999999979,"LogNormal",5,50,50
"Synthetic-only",0.999,27.9164990696695,0,"LogNormal",5,50,50
"SCP",0.9685,10.973385873909,0,"LogNormal",5,100,100
"RSA-CP (OT) (Ours)",0.964,10.2074227802304,0,"LogNormal",5,100,100
"SPI",0.9825,13.1598923801035,0,"LogNormal",5,100,100
"Synthetic-only",0.996,19.8388077911514,0,"LogNormal",5,100,100
"SCP",0.9685,10.973385873909,0,"LogNormal",5,250,250
"RSA-CP (OT) (Ours)",0.963,10.0549637041756,0,"LogNormal",5,250,250
"SPI",0.9485,8.80031993414135,0.02,"LogNormal",5,250,250
"Synthetic-only",0.919,7.74457221570067,0,"LogNormal",5,250,250
"SCP",0.9685,10.973385873909,0,"LogNormal",5,500,500
"RSA-CP (OT) (Ours)",0.963,10.0549637041756,0,"LogNormal",5,500,500
"SPI",0.9825,13.1598923801035,0.0100000000000002,"LogNormal",5,500,500
"Synthetic-only",0.995,18.8925021744363,0,"LogNormal",5,500,500
"SCP",0.9685,10.973385873909,0,"LogNormal",5,1000,1000
"RSA-CP (OT) (Ours)",0.9595,9.64797183105446,0,"LogNormal",5,1000,1000
"SPI",0.9825,13.1598923801035,0.02,"LogNormal",5,1000,1000
"Synthetic-only",0.9825,13.2474720721521,0,"LogNormal",5,1000,1000
"SCP",0.9685,10.973385873909,0,"LogNormal",5,2000,2000
"RSA-CP (OT) (Ours)",0.9605,9.79063644214601,0.00999999999999979,"LogNormal",5,2000,2000
"SPI",0.9735,11.5255765289782,0.0300000000000002,"LogNormal",5,2000,2000
