"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"SPI",0.955,9.28098997916213,0.0399999999999991,"LogNormal",56,2000,2000
"Synthetic-only",0.93,8.09257065799401,0,"LogNormal",56,2000,2000
"SCP",0.99,14.8011378472758,0,"LogNormal",56,3000,3000
"RSA-CP (OT) (Ours)",0.976,11.8834958336781,0.0100000000000016,"LogNormal",56,3000,3000
"SPI",0.984,13.4388171944386,0.0499999999999972,"LogNormal",56,3000,3000
"Synthetic-only",0.983,13.2936368890375,0,"LogNormal",56,3000,3000
"SCP",0.872,4.35208342315552,0,"Student-t",56,50,50
"RSA-CP (OT) (Ours)",0.872,4.33549071092361,0,"Student-t",56,50,50
"SPI",0.999,22.6119559836172,0,"Student-t",56,50,50
"Synthetic-only",0.9945,12.6268493798602,0,"Student-t",56,50,50
"SCP",0.872,4.35208342315552,0,"Student-t",56,100,100
"RSA-CP (OT) (Ours)",0.8665,4.23695683112989,0.0100000000000016,"Student-t",56,100,100
"SPI",0.944,6.01963830802714,0,"Student-t",56,100,100
"Synthetic-only",0.995,13.8098378877182,0,"Student-t",56,100,100
"SCP",0.872,4.35208342315552,0,"Student-t",56,250,250
"RSA-CP (OT) (Ours)",0.863,4.18397467558614,0,"Student-t",56,250,250
"SPI",0.944,6.01963830802714,0,"Student-t",56,250,250
"Synthetic-only",0.995,13.1142348158166,0,"Student-t",56,250,250
"SCP",0.872,4.35208342315552,0,"Student-t",56,500,500
"RSA-CP (OT) (Ours)",0.863,4.18397467558614,0.0199999999999996,"Student-t",56,500,500
"SPI",0.944,6.01963830802714,0,"Student-t",56,500,500
"Synthetic-only",0.9915,10.6799214317201,0,"Student-t",56,500,500
"SCP",0.872,4.35208342315552,0,"Student-t",56,1000,1000
"RSA-CP (OT) (Ours)",0.86,4.11776694957539,0.0100000000000016,"Student-t",56,1000,1000
"SPI",0.944,6.01963830802714,0.0199999999999996,"Student-t",56,1000,1000
"Synthetic-only",0.9945,12.3648333167254,0,"Student-t",56,1000,1000
"SCP",0.872,4.35208342315552,0,"Student-t",56,2000,2000
"RSA-CP (OT) (Ours)",0.8615,4.15813721378691,0,"Student-t",56,2000,2000
"SPI",0.944,6.01963830802714,0.0299999999999976,"Student-t",56,2000,2000
"Synthetic-only",0.995,12.8267994725247,0,"Student-t",56,2000,2000
"SCP",0.872,4.35208342315552,0,"Student-t",56,3000,3000
"RSA-CP (OT) (Ours)",0.861,4.14965701354467,0.0200000000000031,"Student-t",56,3000,3000
"SPI",0.944,6.01963830802714,0.0399999999999991,"Student-t",56,3000,3000
"Synthetic-only",0.9935,11.7262208815996,0,"Student-t",56,3000,3000
"SCP",0.9765,12.0459193609807,0,"LogNormal",57,50,50
"RSA-CP (OT) (Ours)",0.9765,12.0416531962647,0.0199999999999996,"LogNormal",57,50,50
"SPI",0.991,15.6622285820762,0,"LogNormal",57,50,50
"Synthetic-only",0.9885,13.8243073825944,0,"LogNormal",57,50,50
"SCP",0.9765,12.0459193609807,0,"LogNormal",57,100,100
"RSA-CP (OT) (Ours)",0.968,10.8395604503381,0,"LogNormal",57,100,100
"SPI",0.981,12.7485355180844,0,"LogNormal",57,100,100
"Synthetic-only",0.9945,17.9113721653269,0,"LogNormal",57,100,100
"SCP",0.9765,12.0459193609807,0,"LogNormal",57,250,250
"RSA-CP (OT) (Ours)",0.9675,10.6737545543482,0.0199999999999996,"LogNormal",57,250,250
"SPI",0.981,12.7485355180844,0,"LogNormal",57,250,250
"Synthetic-only",0.969,11.0012406550432,0,"LogNormal",57,250,250
"SCP",0.9765,12.0459193609807,0,"LogNormal",57,500,500
"RSA-CP (OT) (Ours)",0.967,10.6052767766345,0,"LogNormal",57,500,500
"SPI",0.9735,11.5309060867111,0.0100000000000016,"LogNormal",57,500,500
"Synthetic-only",0.9665,10.5317663128095,0,"LogNormal",57,500,500
"SCP",0.9765,12.0459193609807,0,"LogNormal",57,1000,1000
"RSA-CP (OT) (Ours)",0.966,10.414879492636,0,"LogNormal",57,1000,1000
"SPI",0.968,10.7567156757451,0.0199999999999996,"LogNormal",57,1000,1000
"Synthetic-only",0.966,10.4078242711477,0,"LogNormal",57,1000,1000
"SCP",0.9765,12.0459193609807,0,"LogNormal",57,2000,2000
"RSA-CP (OT) (Ours)",0.964,10.2202088479138,0.00999999999999801,"LogNormal",57,2000,2000
"SPI",0.953,9.17197152595049,0.0300000000000011,"LogNormal",57,2000,2000
"Synthetic-only",0.948,8.76487241764722,0,"LogNormal",57,2000,2000
"SCP",0.9765,12.0459193609807,0,"LogNormal",57,3000,3000
"RSA-CP (OT) (Ours)",0.9665,10.4635471538166,0.0199999999999996,"LogNormal",57,3000,3000
"SPI",0.953,9.17197152595049,0.0500000000000007,"LogNormal",57,3000,3000
"Synthetic-only",0.941,8.52437451589635,0,"LogNormal",57,3000,3000
"SCP",0.913,5.14571086168751,0,"Student-t",57,50,50
"RSA-CP (OT) (Ours)",0.913,5.13425178433065,0,"Student-t",57,50,50
"SPI",0.9225,5.47695202212207,0,"Student-t",57,50,50
"Synthetic-only",0.922,5.438403774428,0,"Student-t",57,50,50
"SCP",0.913,5.14571086168751,0,"Student-t",57,100,100
"RSA-CP (OT) (Ours)",0.9055,5.01445257602961,0.00999999999999801,"Student-t",57,100,100
"SPI",0.917,5.2800444402382,0,"Student-t",57,100,100
"Synthetic-only",0.987,9.55361521895056,0,"Student-t",57,100,100
"SCP",0.913,5.14571086168751,0,"Student-t",57,250,250
"RSA-CP (OT) (Ours)",0.9045,4.90579708911379,0,"Student-t",57,250,250
"SPI",0.917,5.2800444402382,0,"Student-t",57,250,250
"Synthetic-only",0.986,9.405237698552,0,"Student-t",57,250,250
"SCP",0.913,5.14571086168751,0,"Student-t",57,500,500
"RSA-CP (OT) (Ours)",0.882,4.50802975756402,0,"Student-t",57,500,500
"SPI",0.917,5.2800444402382,0,"Student-t",57,500,500
"Synthetic-only",0.995,12.8679869007977,0,"Student-t",57,500,500
"SCP",0.913,5.14571086168751,0,"Student-t",57,1000,1000
"RSA-CP (OT) (Ours)",0.8885,4.68481523825281,0,"Student-t",57,1000,1000
"SPI",0.917,5.2800444402382,0.0199999999999996,"Student-t",57,1000,1000
"Synthetic-only",0.995,12.9458801016802,0,"Student-t",57,1000,1000
"SCP",0.913,5.14571086168751,0,"Student-t",57,2000,2000
"RSA-CP (OT) (Ours)",0.8875,4.64061886808061,0,"Student-t",57,2000,2000
"SPI",0.917,5.2800444402382,0.0300000000000011,"Student-t",57,2000,2000
"Synthetic-only",0.9935,11.4709471421735,0,"Student-t",57,2000,2000
"SCP",0.913,5.14571086168751,0,"Student-t",57,3000,3000
"RSA-CP (OT) (Ours)",0.8875,4.64061886808061,0,"Student-t",57,3000,3000
"SPI",0.917,5.2800444402382,0.0399999999999991,"Student-t",57,3000,3000
"Synthetic-only",0.9935,11.5622484701381,0,"Student-t",57,3000,3000
"SCP",0.9495,8.81268317012545,0,"LogNormal",58,50,50
"RSA-CP (OT) (Ours)",0.9485,8.80368762121784,0,"LogNormal",58,50,50
"SPI",0.999,28.285401357538,0,"LogNormal",58,50,50
"Synthetic-only",0.9765,11.9739360684146,0,"LogNormal",58,50,50
"SCP",0.9495,8.81268317012545,0,"LogNormal",58,100,100
"RSA-CP (OT) (Ours)",0.938,8.45956953830379,0,"LogNormal",58,100,100
"SPI",0.9915,16.2958211509549,0.0100000000000016,"LogNormal",58,100,100
"Synthetic-only",0.9915,16.1303762692644,0,"LogNormal",58,100,100
"SCP",0.9495,8.81268317012545,0,"LogNormal",58,250,250
"RSA-CP (OT) (Ours)",0.941,8.53796241924517,0,"LogNormal",58,250,250
"SPI",0.993,16.7435458161477,0,"LogNormal",58,250,250
"Synthetic-only",0.9925,16.5307576194298,0,"LogNormal",58,250,250
"SCP",0.9495,8.81268317012545,0,"LogNormal",58,500,500
"RSA-CP (OT) (Ours)",0.936,8.37313688991611,0.0199999999999996,"LogNormal",58,500,500
"SPI",0.9875,13.6768038311287,0,"LogNormal",58,500,500
"Synthetic-only",0.9735,11.5646967938335,0,"LogNormal",58,500,500
"SCP",0.9495,8.81268317012545,0,"LogNormal",58,1000,1000
"RSA-CP (OT) (Ours)",0.9375,8.40610199578193,0.0100000000000016,"LogNormal",58,1000,1000
"SPI",0.981,12.4888560589279,0.0199999999999996,"LogNormal",58,1000,1000
"Synthetic-only",0.978,12.2203441860971,0,"LogNormal",58,1000,1000
"SCP",0.9495,8.81268317012545,0,"LogNormal",58,2000,2000
"RSA-CP (OT) (Ours)",0.936,8.37313688991611,0,"LogNormal",58,2000,2000
"SPI",0.9435,8.6314804958346,0.0299999999999976,"LogNormal",58,2000,2000
"Synthetic-only",0.941,8.52708152747846,0,"LogNormal",58,2000,2000
"SCP",0.9495,8.81268317012545,0,"LogNormal",58,3000,3000
"RSA-CP (OT) (Ours)",0.936,8.36844557237399,0.0200000000000031,"LogNormal",58,3000,3000
"SPI",0.9515,9.00304171038856,0.0399999999999991,"LogNormal",58,3000,3000
"Synthetic-only",0.9495,8.81789822651636,0,"LogNormal",58,3000,3000
"SCP",0.877,4.39959914722215,0,"Student-t",58,50,50
"RSA-CP (OT) (Ours)",0.8765,4.39085053024924,0,"Student-t",58,50,50
"SPI",0.999,20.427963047849,0,"Student-t",58,50,50
"Synthetic-only",0.9965,14.3671146111633,0,"Student-t",58,50,50
"SCP",0.877,4.39959914722215,0,"Student-t",58,100,100
"RSA-CP (OT) (Ours)",0.867,4.27467936561797,0,"Student-t",58,100,100
"SPI",0.9595,6.79053423586936,0,"Student-t",58,100,100
"Synthetic-only",0.995,12.8747012875685,0,"Student-t",58,100,100
"SCP",0.877,4.39959914722215,0,"Student-t",58,250,250
"RSA-CP (OT) (Ours)",0.8715,4.3297471373154,0,"Student-t",58,250,250
"SPI",0.9595,6.79053423586936,0.0199999999999996,"Student-t",58,250,250
"Synthetic-only",0.9965,14.6762623225484,0.0199999999999996,"Student-t",58,250,250
"SCP",0.877,4.39959914722215,0,"Student-t",58,500,500
"RSA-CP (OT) (Ours)",0.867,4.27036904156499,0,"Student-t",58,500,500
"SPI",0.9595,6.79053423586936,0.0100000000000016,"Student-t",58,500,500
"Synthetic-only",0.981,8.53851648807581,0,"Student-t",58,500,500
"SCP",0.877,4.39959914722215,0,"Student-t",58,1000,1000
"RSA-CP (OT) (Ours)",0.8665,4.25292585575477,0,"Student-t",58,1000,1000
"SPI",0.9595,6.79053423586936,0.0199999999999996,"Student-t",58,1000,1000
"Synthetic-only",0.988,9.74962362472519,0,"Student-t",58,1000,1000
"SCP",0.877,4.39959914722215,0,"Student-t",58,2000,2000
"RSA-CP (OT) (Ours)",0.8665,4.2515158933648,0.00999999999999801,"Student-t",58,2000,2000
"SPI",0.9595,6.79053423586936,0.0300000000000011,"Student-t",58,2000,2000
"Synthetic-only",0.9945,12.2064509424781,0,"Student-t",58,2000,2000
"SCP",0.877,4.39959914722215,0,"Student-t",58,3000,3000
"RSA-CP (OT) (Ours)",0.8665,4.2515158933648,0,"Student-t",58,3000,3000
"SPI",0.9595,6.79053423586936,0.0500000000000007,"Student-t",58,3000,3000
"Synthetic-only",0.9945,12.2402388424946,0,"Student-t",58,3000,3000
"SCP",0.9705,11.177037444779,0,"LogNormal",59,50,50
"RSA-CP (OT) (Ours)",0.9705,11.1720754214247,0,"LogNormal",59,50,50
"SPI",0.998,24.5320052405441,0,"LogNormal",59,50,50
"Synthetic-only",0.9915,16.1158688852613,0,"LogNormal",59,50,50
"SCP",0.9705,11.177037444779,0,"LogNormal",59,100,100
"RSA-CP (OT) (Ours)",0.9695,11.1345852354467,0.00999999999999801,"LogNormal",59,100,100
"SPI",0.9695,11.061347462112,0,"LogNormal",59,100,100
"Synthetic-only",0.9005,7.23150550295165,0,"LogNormal",59,100,100
"SCP",0.9705,11.177037444779,0,"LogNormal",59,250,250
"RSA-CP (OT) (Ours)",0.9695,11.0970950494688,0,"LogNormal",59,250,250
"SPI",0.978,12.2314617177017,0,"LogNormal",59,250,250
"Synthetic-only",0.9915,15.9550574010621,0,"LogNormal",59,250,250
"SCP",0.9705,11.177037444779,0,"LogNormal",59,500,500
"RSA-CP (OT) (Ours)",0.9695,11.0970950494688,0,"LogNormal",59,500,500
"SPI",0.9695,11.061347462112,0,"LogNormal",59,500,500
"Synthetic-only",0.93,8.06832633988368,0,"LogNormal",59,500,500
"SCP",0.9705,11.177037444779,0,"LogNormal",59,1000,1000
"RSA-CP (OT) (Ours)",0.9695,11.0970950494688,0.00999999999999801,"LogNormal",59,1000,1000
"SPI",0.9695,11.061347462112,0.0199999999999996,"LogNormal",59,1000,1000
"Synthetic-only",0.947,8.73927373056406,0,"LogNormal",59,1000,1000
"SCP",0.9705,11.177037444779,0,"LogNormal",59,2000,2000
"RSA-CP (OT) (Ours)",0.9695,11.0708197327099,0.0100000000000016,"LogNormal",59,2000,2000
"SPI",0.978,12.2314617177017,0.0399999999999991,"LogNormal",59,2000,2000
"Synthetic-only",0.9915,16.022230081157,0,"LogNormal",59,2000,2000
"SCP",0.9705,11.177037444779,0,"LogNormal",59,3000,3000
"RSA-CP (OT) (Ours)",0.9695,11.099519715658,0,"LogNormal",59,3000,3000
"SPI",0.978,12.2314617177017,0.0399999999999991,"LogNormal",59,3000,3000
"Synthetic-only",0.9775,12.0866843163116,0,"LogNormal",59,3000,3000
"SCP",0.963,7.07514155620698,0,"Student-t",59,50,50
"RSA-CP (OT) (Ours)",0.963,7.07282714464361,0.0199999999999996,"Student-t",59,50,50
"SPI",0.999,19.3990647101033,0,"Student-t",59,50,50
"Synthetic-only",0.956,6.66677680880032,0,"Student-t",59,50,50
"SCP",0.963,7.07514155620698,0,"Student-t",59,100,100
"RSA-CP (OT) (Ours)",0.9595,6.76524487353667,0,"Student-t",59,100,100
"SPI",0.97,7.49682443011754,0,"Student-t",59,100,100
"Synthetic-only",0.9715,7.71466626950183,0,"Student-t",59,100,100
"SCP",0.963,7.07514155620698,0,"Student-t",59,250,250
"RSA-CP (OT) (Ours)",0.947,6.15940204904085,0.0100000000000016,"Student-t",59,250,250
"SPI",0.97,7.49682443011754,0,"Student-t",59,250,250
"Synthetic-only",0.993,11.426560479529,0,"Student-t",59,250,250
"SCP",0.963,7.07514155620698,0,"Student-t",59,500,500
"RSA-CP (OT) (Ours)",0.952,6.38659310822678,0,"Student-t",59,500,500
"SPI",0.97,7.49682443011754,0.0199999999999996,"Student-t",59,500,500
"Synthetic-only",0.993,11.0083569150623,0,"Student-t",59,500,500
"SCP",0.963,7.07514155620698,0,"Student-t",59,1000,1000
"RSA-CP (OT) (Ours)",0.947,6.15508220164,0,"Student-t",59,1000,1000
"SPI",0.97,7.49682443011754,0.0100000000000016,"Student-t",59,1000,1000
"Synthetic-only",0.993,11.2928040654077,0,"Student-t",59,1000,1000
"SCP",0.963,7.07514155620698,0,"Student-t",59,2000,2000
"RSA-CP (OT) (Ours)",0.944,6.02936883130294,0.0199999999999996,"Student-t",59,2000,2000
"SPI",0.97,7.49682443011754,0.0199999999999996,"Student-t",59,2000,2000
"Synthetic-only",0.993,11.4108166168048,0.00999999999999801,"Student-t",59,2000,2000
"SCP",0.963,7.07514155620698,0,"Student-t",59,3000,3000
"RSA-CP (OT) (Ours)",0.947,6.14531823190492,0,"Student-t",59,3000,3000
"SPI",0.97,7.49682443011754,0.0500000000000007,"Student-t",59,3000,3000
"Synthetic-only",0.993,11.1088055732551,0,"Student-t",59,3000,3000
"SCP",0.973,11.4611667934868,0,"LogNormal",60,50,50
"RSA-CP (OT) (Ours)",0.973,11.45558391624,0,"LogNormal",60,50,50
"SPI",0.9945,18.7217761696727,0,"LogNormal",60,50,50
"Synthetic-only",0.908,7.43831605596177,0,"LogNormal",60,50,50
"SCP",0.973,11.4611667934868,0,"LogNormal",60,100,100
"RSA-CP (OT) (Ours)",0.9705,11.1655691335504,0.0199999999999996,"LogNormal",60,100,100
"SPI",0.9885,13.7921983871564,0,"LogNormal",60,100,100
"Synthetic-only",0.981,12.9595051493158,0,"LogNormal",60,100,100
"SCP",0.973,11.4611667934868,0,"LogNormal",60,250,250
"RSA-CP (OT) (Ours)",0.968,10.697514343145,0,"LogNormal",60,250,250
"SPI",0.9615,9.88769264190902,0,"LogNormal",60,250,250
"Synthetic-only",0.93,8.18484097163436,0,"LogNormal",60,250,250
"SCP",0.973,11.4611667934868,0,"LogNormal",60,500,500
"RSA-CP (OT) (Ours)",0.966,10.3978284659778,0,"LogNormal",60,500,500
"SPI",0.9885,13.7921983871564,0,"LogNormal",60,500,500
"Synthetic-only",0.991,15.3487889466716,0,"LogNormal",60,500,500
"SCP",0.973,11.4611667934868,0,"LogNormal",60,1000,1000
"RSA-CP (OT) (Ours)",0.967,10.6078856067046,0.0100000000000016,"LogNormal",60,1000,1000
"SPI",0.987,13.5994663678332,0.0199999999999996,"LogNormal",60,1000,1000
"Synthetic-only",0.981,12.9929089737352,0,"LogNormal",60,1000,1000
"SCP",0.973,11.4611667934868,0,"LogNormal",60,2000,2000
"RSA-CP (OT) (Ours)",0.966,10.3978284659778,0,"LogNormal",60,2000,2000
"SPI",0.9615,9.88769264190902,0.0299999999999976,"LogNormal",60,2000,2000
"Synthetic-only",0.951,8.94111178336738,0,"LogNormal",60,2000,2000
"SCP",0.973,11.4611667934868,0,"LogNormal",60,3000,3000
"RSA-CP (OT) (Ours)",0.967,10.6078856067046,0,"LogNormal",60,3000,3000
"SPI",0.9615,9.88769264190902,0.0500000000000007,"LogNormal",60,3000,3000
"Synthetic-only",0.9475,8.74717797531502,0,"LogNormal",60,3000,3000
"SCP",0.9235,5.53807740455183,0,"Student-t",60,50,50
"RSA-CP (OT) (Ours)",0.9235,5.52483232441985,0.0199999999999996,"Student-t",60,50,50
"SPI",0.999,21.6404007037895,0,"Student-t",60,50,50
"Synthetic-only",0.999,17.5504963075495,0,"Student-t",60,50,50
"SCP",0.9235,5.53807740455183,0,"Student-t",60,100,100
"RSA-CP (OT) (Ours)",0.9165,5.2596403728477,0,"Student-t",60,100,100
"SPI",0.9855,9.26883916426665,0,"Student-t",60,100,100
"Synthetic-only",0.997,14.9710741437861,0,"Student-t",60,100,100
"SCP",0.9235,5.53807740455183,0,"Student-t",60,250,250
"RSA-CP (OT) (Ours)",0.9165,5.2596403728477,0,"Student-t",60,250,250
"SPI",0.9805,8.45813376957797,0.00999999999999801,"Student-t",60,250,250
"Synthetic-only",0.9805,8.4565355619088,0.00999999999999801,"Student-t",60,250,250
"SCP",0.9235,5.53807740455183,0,"Student-t",60,500,500
"RSA-CP (OT) (Ours)",0.916,5.25071326393277,0,"Student-t",60,500,500
"SPI",0.9855,9.26883916426665,0.0200000000000031,"Student-t",60,500,500
"Synthetic-only",0.993,11.0917908095752,0,"Student-t",60,500,500
"SCP",0.9235,5.53807740455183,0,"Student-t",60,1000,1000
"RSA-CP (OT) (Ours)",0.917,5.27223258058823,0,"Student-t",60,1000,1000
"SPI",0.9855,9.26883916426665,0.00999999999999801,"Student-t",60,1000,1000
"Synthetic-only",0.9935,12.1482638745884,0,"Student-t",60,1000,1000
"SCP",0.9235,5.53807740455183,0,"Student-t",60,2000,2000
"RSA-CP (OT) (Ours)",0.9155,5.24708891349665,0.0199999999999996,"Student-t",60,2000,2000
"SPI",0.9855,9.26883916426665,0.0300000000000011,"Student-t",60,2000,2000
"Synthetic-only",0.993,11.0657457649016,0,"Student-t",60,2000,2000
"SCP",0.9235,5.53807740455183,0,"Student-t",60,3000,3000
"RSA-CP (OT) (Ours)",0.9155,5.24708891349665,0,"Student-t",60,3000,3000
"SPI",0.9855,9.26883916426665,0.0500000000000007,"Student-t",60,3000,3000
"Synthetic-only",0.9935,11.5613082139376,0,"Student-t",60,3000,3000
"SCP",0.905,7.34237730787262,0,"LogNormal",61,50,50
"RSA-CP (OT) (Ours)",0.905,7.3253209225966,0,"LogNormal",61,50,50
"SPI",0.997,23.2656574108802,0,"LogNormal",61,50,50
"Synthetic-only",0.994,16.9790844623872,0,"LogNormal",61,50,50
"SCP",0.905,7.34237730787262,0,"LogNormal",61,100,100
"RSA-CP (OT) (Ours)",0.8805,6.5996995104526,0,"LogNormal",61,100,100
"SPI",0.9695,11.1048340301007,0.0199999999999996,"LogNormal",61,100,100
"Synthetic-only",0.9905,14.9940920441156,0,"LogNormal",61,100,100
"SCP",0.905,7.34237730787262,0,"LogNormal",61,250,250
"RSA-CP (OT) (Ours)",0.881,6.61176156250581,0,"LogNormal",61,250,250
"SPI",0.9625,9.96983550900566,0,"LogNormal",61,250,250
"Synthetic-only",0.957,9.37781717340181,0,"LogNormal",61,250,250
"SCP",0.905,7.34237730787262,0,"LogNormal",61,500,500
"RSA-CP (OT) (Ours)",0.881,6.61176156250581,0.0100000000000016,"LogNormal",61,500,500
"SPI",0.9595,9.57814368394206,0,"LogNormal",61,500,500
"Synthetic-only",0.941,8.55929774341513,0,"LogNormal",61,500,500
"SCP",0.905,7.34237730787262,0,"LogNormal",61,1000,1000
"RSA-CP (OT) (Ours)",0.874,6.47108578458015,0.0199999999999996,"LogNormal",61,1000,1000
"SPI",0.9695,11.1048340301007,0.0100000000000016,"LogNormal",61,1000,1000
"Synthetic-only",0.99,14.3270907281563,0,"LogNormal",61,1000,1000
"SCP",0.905,7.34237730787262,0,"LogNormal",61,2000,2000
"RSA-CP (OT) (Ours)",0.874,6.47108578458015,0,"LogNormal",61,2000,2000
"SPI",0.9695,11.1048340301007,0.0399999999999991,"LogNormal",61,2000,2000
"Synthetic-only",0.9885,13.7969138801099,0,"LogNormal",61,2000,2000
"SCP",0.905,7.34237730787262,0,"LogNormal",61,3000,3000
"RSA-CP (OT) (Ours)",0.877,6.54142367354298,0.00999999999999801,"LogNormal",61,3000,3000
"SPI",0.96,9.73004554772051,0.0500000000000007,"LogNormal",61,3000,3000
"Synthetic-only",0.959,9.53594181996982,0,"LogNormal",61,3000,3000
"SCP",0.974,7.97500373583587,0,"Student-t",61,50,50
"RSA-CP (OT) (Ours)",0.974,7.9607810271074,0,"Student-t",61,50,50
"SPI",0.999,19.0662662501202,0,"Student-t",61,50,50
"Synthetic-only",0.999,18.6739069896075,0,"Student-t",61,50,50
"SCP",0.974,7.97500373583587,0,"Student-t",61,100,100
"RSA-CP (OT) (Ours)",0.971,7.6448770180952,0.0100000000000016,"Student-t",61,100,100
"SPI",0.9965,14.6861410713321,0,"Student-t",61,100,100
"Synthetic-only",0.996,13.9926742949615,0,"Student-t",61,100,100
"SCP",0.974,7.97500373583587,0,"Student-t",61,250,250
"RSA-CP (OT) (Ours)",0.97,7.4869250135891,0,"Student-t",61,250,250
"SPI",0.9935,11.9924439103393,0,"Student-t",61,250,250
"Synthetic-only",0.993,10.8858942035012,0,"Student-t",61,250,250
"SCP",0.974,7.97500373583587,0,"Student-t",61,500,500
"RSA-CP (OT) (Ours)",0.9665,7.26579220728056,0,"Student-t",61,500,500
"SPI",0.9935,11.933811765461,0,"Student-t",61,500,500
"Synthetic-only",0.9935,11.8656702121567,0,"Student-t",61,500,500
"SCP",0.974,7.97500373583587,0,"Student-t",61,1000,1000
"RSA-CP (OT) (Ours)",0.964,7.1710210045769,0.0199999999999996,"Student-t",61,1000,1000
"SPI",0.993,10.8435130465671,0.0100000000000016,"Student-t",61,1000,1000
"Synthetic-only",0.9915,10.680822680187,0,"Student-t",61,1000,1000
"SCP",0.974,7.97500373583587,0,"Student-t",61,2000,2000
"RSA-CP (OT) (Ours)",0.964,7.1598119678958,0,"Student-t",61,2000,2000
"SPI",0.9935,11.760578060596,0.0299999999999976,"Student-t",61,2000,2000
"Synthetic-only",0.9935,11.6265012450753,0,"Student-t",61,2000,2000
"SCP",0.974,7.97500373583587,0,"Student-t",61,3000,3000
"RSA-CP (OT) (Ours)",0.966,7.24820470824019,0.0199999999999996,"Student-t",61,3000,3000
"SPI",0.9945,12.3164282665768,0.0400000000000027,"Student-t",61,3000,3000
"Synthetic-only",0.9945,12.230284986842,0,"Student-t",61,3000,3000
"SCP",0.9645,10.2836295578065,0,"LogNormal",62,50,50
"RSA-CP (OT) (Ours)",0.9645,10.2698101825373,0.0199999999999996,"LogNormal",62,50,50
"SPI",0.9985,25.4888710899238,0,"LogNormal",62,50,50
"Synthetic-only",0.998,25.0280509150244,0,"LogNormal",62,50,50
"SCP",0.9645,10.2836295578065,0,"LogNormal",62,100,100
"RSA-CP (OT) (Ours)",0.9605,9.79515509006711,0,"LogNormal",62,100,100
"SPI",0.994,17.2458016930844,0,"LogNormal",62,100,100
"Synthetic-only",0.9945,17.5241573574845,0,"LogNormal",62,100,100
"SCP",0.9645,10.2836295578065,0,"LogNormal",62,250,250
"RSA-CP (OT) (Ours)",0.9545,9.24244723228007,0.0199999999999996,"LogNormal",62,250,250
"SPI",0.994,16.9597354132308,0,"LogNormal",62,250,250
"Synthetic-only",0.9915,16.3292485517806,0,"LogNormal",62,250,250
"SCP",0.9645,10.2836295578065,0,"LogNormal",62,500,500
"RSA-CP (OT) (Ours)",0.9475,8.74470205650047,0,"LogNormal",62,500,500
"SPI",0.9915,15.8682963026893,0.00999999999999801,"LogNormal",62,500,500
"Synthetic-only",0.991,15.2681193596987,0,"LogNormal",62,500,500
"SCP",0.9645,10.2836295578065,0,"LogNormal",62,1000,1000
"RSA-CP (OT) (Ours)",0.944,8.64113834917656,0,"LogNormal",62,1000,1000
"SPI",0.99,14.2627215946661,0.0200000000000031,"LogNormal",62,1000,1000
"Synthetic-only",0.99,14.2581434717001,0,"LogNormal",62,1000,1000
"SCP",0.9645,10.2836295578065,0,"LogNormal",62,2000,2000
"RSA-CP (OT) (Ours)",0.947,8.72964109005215,0.00999999999999801,"LogNormal",62,2000,2000
"SPI",0.981,12.5275755732199,0.0300000000000011,"LogNormal",62,2000,2000
"Synthetic-only",0.981,12.4945128959949,0,"LogNormal",62,2000,2000
"SCP",0.9645,10.2836295578065,0,"LogNormal",62,3000,3000
"RSA-CP (OT) (Ours)",0.944,8.66638282128366,0,"LogNormal",62,3000,3000
"SPI",0.957,9.37006212576237,0.0500000000000007,"LogNormal",62,3000,3000
"Synthetic-only",0.9545,9.23140934818185,0.0199999999999996,"LogNormal",62,3000,3000
"SCP",0.901,4.84872807070002,0,"Student-t",62,50,50
"RSA-CP (OT) (Ours)",0.9005,4.84321880357418,0,"Student-t",62,50,50
"SPI",0.998,15.7980945025245,0,"Student-t",62,50,50
"Synthetic-only",0.989,10.1723690564303,0,"Student-t",62,50,50
"SCP",0.901,4.84872807070002,0,"Student-t",62,100,100
"RSA-CP (OT) (Ours)",0.8935,4.76021699839666,0,"Student-t",62,100,100
"SPI",0.922,5.42965810704577,0,"Student-t",62,100,100
"Synthetic-only",0.9985,16.2400677718441,0,"Student-t",62,100,100
"SCP",0.901,4.84872807070002,0,"Student-t",62,250,250
"RSA-CP (OT) (Ours)",0.8935,4.76021699839666,0.00999999999999801,"Student-t",62,250,250
"SPI",0.922,5.42965810704577,0,"Student-t",62,250,250
"Synthetic-only",0.9945,12.2019527006149,0,"Student-t",62,250,250
"SCP",0.901,4.84872807070002,0,"Student-t",62,500,500
"RSA-CP (OT) (Ours)",0.8895,4.70084396032096,0,"Student-t",62,500,500
"SPI",0.922,5.42965810704577,0.0199999999999996,"Student-t",62,500,500
"Synthetic-only",0.9965,14.6236343837711,0,"Student-t",62,500,500
"SCP",0.901,4.84872807070002,0,"Student-t",62,1000,1000
"RSA-CP (OT) (Ours)",0.8875,4.63797602407918,0,"Student-t",62,1000,1000
"SPI",0.922,5.42965810704577,0.0100000000000016,"Student-t",62,1000,1000
"Synthetic-only",0.989,10.325605260654,0,"Student-t",62,1000,1000
"SCP",0.901,4.84872807070002,0.0199999999999996,"Student-t",62,2000,2000
