"Method","Cov","Width","Time","Dataset","Trial","Shock_Probability"
"RSA-CP (OT) (Ours)",0.849,3.80550143387255,0,"Student-t",4,0.5
"SCP",0.933,7.5486948286234,0,"LogNormal",5,0
"RSA-CP (OT) (Ours)",0.924,7.24179465740816,0,"LogNormal",5,0
"SCP",0.933,7.5486948286234,0,"LogNormal",5,0.1
"RSA-CP (OT) (Ours)",0.915,6.95297919834407,0,"LogNormal",5,0.1
"SCP",0.933,7.5486948286234,0,"LogNormal",5,0.2
"RSA-CP (OT) (Ours)",0.9205,7.10315241344645,0,"LogNormal",5,0.2
"SCP",0.933,7.5486948286234,0,"LogNormal",5,0.3
"RSA-CP (OT) (Ours)",0.9175,7.01520723095114,0.0100000000000193,"LogNormal",5,0.3
"SCP",0.933,7.5486948286234,0,"LogNormal",5,0.4
"RSA-CP (OT) (Ours)",0.9225,7.18669962034923,0,"LogNormal",5,0.4
"SCP",0.933,7.5486948286234,0,"LogNormal",5,0.5
"RSA-CP (OT) (Ours)",0.918,7.03831329350981,0,"LogNormal",5,0.5
"SCP",0.965,7.55416023487471,0,"Student-t",5,0
"RSA-CP (OT) (Ours)",0.932,5.54188905325942,0.0199999999999818,"Student-t",5,0
"SCP",0.965,7.55416023487471,0,"Student-t",5,0.1
"RSA-CP (OT) (Ours)",0.9315,5.4779987776638,0,"Student-t",5,0.1
"SCP",0.965,7.55416023487471,0,"Student-t",5,0.2
"RSA-CP (OT) (Ours)",0.9235,5.24695284370461,0,"Student-t",5,0.2
"SCP",0.965,7.55416023487471,0,"Student-t",5,0.3
"RSA-CP (OT) (Ours)",0.9355,5.64542998432895,0.0200000000000102,"Student-t",5,0.3
"SCP",0.965,7.55416023487471,0,"Student-t",5,0.4
"RSA-CP (OT) (Ours)",0.921,5.16179831224576,0,"Student-t",5,0.4
"SCP",0.965,7.55416023487471,0,"Student-t",5,0.5
"RSA-CP (OT) (Ours)",0.928,5.36452338097371,0,"Student-t",5,0.5
"SCP",0.9255,7.25900905046281,0,"LogNormal",6,0
"RSA-CP (OT) (Ours)",0.912,6.86441256939994,0,"LogNormal",6,0
"SCP",0.9255,7.25900905046281,0,"LogNormal",6,0.1
"RSA-CP (OT) (Ours)",0.9085,6.74271638731273,0,"LogNormal",6,0.1
"SCP",0.9255,7.25900905046281,0,"LogNormal",6,0.2
"RSA-CP (OT) (Ours)",0.897,6.45431824987288,0,"LogNormal",6,0.2
"SCP",0.9255,7.25900905046281,0,"LogNormal",6,0.3
"RSA-CP (OT) (Ours)",0.906,6.68148020698173,0,"LogNormal",6,0.3
"SCP",0.9255,7.25900905046281,0,"LogNormal",6,0.4
"RSA-CP (OT) (Ours)",0.9025,6.55553970601264,0,"LogNormal",6,0.4
"SCP",0.9255,7.25900905046281,0,"LogNormal",6,0.5
"RSA-CP (OT) (Ours)",0.895,6.43382699910493,0,"LogNormal",6,0.5
"SCP",0.9015,4.76591195086306,0,"Student-t",6,0
"RSA-CP (OT) (Ours)",0.8385,3.61999125097375,0.00999999999999091,"Student-t",6,0
"SCP",0.9015,4.76591195086306,0,"Student-t",6,0.1
"RSA-CP (OT) (Ours)",0.8385,3.62191755860888,0,"Student-t",6,0.1
"SCP",0.9015,4.76591195086306,0,"Student-t",6,0.2
"RSA-CP (OT) (Ours)",0.8385,3.61091260000984,0,"Student-t",6,0.2
