"Method","Cov","Width","Time","Dataset","Trial","Noise"
"Synthetic-only",0.9885,13.2357742867862,0,"LogNormal",44,3
"SCP",0.9945,12.5838376850665,0,"Student-t",44,0.25
"RSA-CP (OT) (Ours)",0.9855,10.1222383599597,0,"Student-t",44,0.25
"SPI",0.971,8.0510425846892,0.0499999999999972,"Student-t",44,0.25
"Synthetic-only",0.9535,6.63191829945172,0,"Student-t",44,0.25
"SCP",0.9945,12.5838376850665,0,"Student-t",44,0.5
"RSA-CP (OT) (Ours)",0.983,9.64087809128739,0.0200000000000031,"Student-t",44,0.5
"SPI",0.971,8.0510425846892,0.0399999999999991,"Student-t",44,0.5
"Synthetic-only",0.9415,6.10714540249763,0,"Student-t",44,0.5
"SCP",0.9945,12.5838376850665,0,"Student-t",44,1
"RSA-CP (OT) (Ours)",0.985,10.0381354294626,0,"Student-t",44,1
"SPI",0.971,8.0510425846892,0.0500000000000043,"Student-t",44,1
"Synthetic-only",0.9615,7.15440307014049,0,"Student-t",44,1
"SCP",0.9945,12.5838376850665,0,"Student-t",44,1.5
"RSA-CP (OT) (Ours)",0.9845,9.78342255161974,0,"Student-t",44,1.5
"SPI",0.976,8.4965100107563,0.0599999999999881,"Student-t",44,1.5
"Synthetic-only",0.976,8.4943612922327,0.019999999999996,"Student-t",44,1.5
"SCP",0.9945,12.5838376850665,0,"Student-t",44,2
"RSA-CP (OT) (Ours)",0.985,9.97833656918507,0.0200000000000102,"Student-t",44,2
"SPI",0.987,10.3489205150233,0.0499999999999972,"Student-t",44,2
"Synthetic-only",0.9865,10.3259988622527,0,"Student-t",44,2
"SCP",0.9945,12.5838376850665,0,"Student-t",44,3
"RSA-CP (OT) (Ours)",0.985,9.99291860320374,0,"Student-t",44,3
"SPI",0.996,13.4691912040766,0.0400000000000063,"Student-t",44,3
"Synthetic-only",0.996,13.4519465005934,0,"Student-t",44,3
"SCP",0.9,6.62810394904561,0,"LogNormal",45,0.25
"RSA-CP (OT) (Ours)",0.8945,6.48667059091657,0,"LogNormal",45,0.25
"SPI",0.888,6.39750421984413,0.0499999999999972,"LogNormal",45,0.25
"Synthetic-only",0.7275,4.29566869440867,0,"LogNormal",45,0.25
"SCP",0.9,6.62810394904561,0,"LogNormal",45,0.5
"RSA-CP (OT) (Ours)",0.895,6.49770234362221,0,"LogNormal",45,0.5
"SPI",0.888,6.39750421984413,0.0600000000000023,"LogNormal",45,0.5
"Synthetic-only",0.804,5.01910331033366,0.0100000000000051,"LogNormal",45,0.5
"SCP",0.9,6.62810394904561,0,"LogNormal",45,1
"RSA-CP (OT) (Ours)",0.8945,6.48675973525161,0.00999999999999091,"LogNormal",45,1
"SPI",0.902,6.71995811983974,0.0500000000000114,"LogNormal",45,1
"Synthetic-only",0.902,6.71211590770725,0,"LogNormal",45,1
"SCP",0.9,6.62810394904561,0,"LogNormal",45,1.5
"RSA-CP (OT) (Ours)",0.895,6.49542136632745,0,"LogNormal",45,1.5
"SPI",0.9435,8.40237381566178,0.0499999999999972,"LogNormal",45,1.5
"Synthetic-only",0.9435,8.3990493804394,0,"LogNormal",45,1.5
"SCP",0.9,6.62810394904561,0,"LogNormal",45,2
"RSA-CP (OT) (Ours)",0.8945,6.47911953462533,0.0100000000000051,"LogNormal",45,2
"SPI",0.9535,8.81804766270858,0.0499999999999972,"LogNormal",45,2
"Synthetic-only",0.969,9.92666984467441,0,"LogNormal",45,2
"SCP",0.9,6.62810394904561,0,"LogNormal",45,3
"RSA-CP (OT) (Ours)",0.8945,6.4809811751311,0,"LogNormal",45,3
"SPI",0.9535,8.81804766270858,0.0499999999999972,"LogNormal",45,3
"Synthetic-only",0.9895,13.3576391127935,0,"LogNormal",45,3
"SCP",0.9625,7.38882120323559,0,"Student-t",45,0.25
"RSA-CP (OT) (Ours)",0.9625,7.22862089105838,0,"Student-t",45,0.25
"SPI",0.9605,7.13107591425159,0.0600000000000023,"Student-t",45,0.25
"Synthetic-only",0.9475,6.30886750889519,0.0100000000000051,"Student-t",45,0.25
"SCP",0.9625,7.38882120323559,0,"Student-t",45,0.5
"RSA-CP (OT) (Ours)",0.962,7.19161513099158,0.00999999999999091,"Student-t",45,0.5
"SPI",0.9605,7.13107591425159,0.0400000000000063,"Student-t",45,0.5
"Synthetic-only",0.9505,6.48914652611189,0,"Student-t",45,0.5
"SCP",0.9625,7.38882120323559,0,"Student-t",45,1
"RSA-CP (OT) (Ours)",0.9625,7.2434435387008,0,"Student-t",45,1
"SPI",0.9635,7.45465043334843,0.0600000000000023,"Student-t",45,1
"Synthetic-only",0.9665,7.76126364929802,0.0100000000000051,"Student-t",45,1
"SCP",0.9625,7.38882120323559,0,"Student-t",45,1.5
"RSA-CP (OT) (Ours)",0.9625,7.21861859292888,0.00999999999999091,"Student-t",45,1.5
"SPI",0.9635,7.45465043334843,0.0400000000000063,"Student-t",45,1.5
"Synthetic-only",0.976,8.53662120054817,0,"Student-t",45,1.5
"SCP",0.9625,7.38882120323559,0,"Student-t",45,2
"RSA-CP (OT) (Ours)",0.959,7.01205862088988,0,"Student-t",45,2
"SPI",0.9635,7.45465043334843,0.0499999999999972,"Student-t",45,2
"Synthetic-only",0.985,10.1027937368936,0,"Student-t",45,2
"SCP",0.9625,7.38882120323559,0,"Student-t",45,3
"RSA-CP (OT) (Ours)",0.9625,7.2427135800466,0,"Student-t",45,3
"SPI",0.9635,7.45465043334843,0.039999999999992,"Student-t",45,3
"Synthetic-only",0.996,13.9153914417142,0,"Student-t",45,3
"SCP",0.8895,6.42638448753906,0,"LogNormal",46,0.25
"RSA-CP (OT) (Ours)",0.888,6.38000682538592,0,"LogNormal",46,0.25
"SPI",0.887,6.34402898017977,0.0499999999999972,"LogNormal",46,0.25
"Synthetic-only",0.7275,4.28999305891168,0,"LogNormal",46,0.25
"SCP",0.8895,6.42638448753906,0,"LogNormal",46,0.5
"RSA-CP (OT) (Ours)",0.8875,6.37085330052884,0,"LogNormal",46,0.5
"SPI",0.887,6.34402898017977,0.0600000000000023,"LogNormal",46,0.5
"Synthetic-only",0.8055,5.05216254031225,0.0100000000000051,"LogNormal",46,0.5
"SCP",0.8895,6.42638448753906,0,"LogNormal",46,1
"RSA-CP (OT) (Ours)",0.8875,6.37050991340069,0,"LogNormal",46,1
"SPI",0.9015,6.68254033127362,0.0499999999999972,"LogNormal",46,1
"Synthetic-only",0.9015,6.67721668306761,0,"LogNormal",46,1
"SCP",0.8895,6.42638448753906,0,"LogNormal",46,1.5
"RSA-CP (OT) (Ours)",0.888,6.38274016966066,0,"LogNormal",46,1.5
"SPI",0.917,7.31671753576062,0.0499999999999972,"LogNormal",46,1.5
"Synthetic-only",0.946,8.44615620365452,0,"LogNormal",46,1.5
"SCP",0.8895,6.42638448753906,0,"LogNormal",46,2
"RSA-CP (OT) (Ours)",0.8875,6.36652183875226,0.00999999999999091,"LogNormal",46,2
"SPI",0.917,7.31671753576062,0.0500000000000114,"LogNormal",46,2
"Synthetic-only",0.9705,9.95422489743543,0,"LogNormal",46,2
"SCP",0.8895,6.42638448753906,0,"LogNormal",46,3
"RSA-CP (OT) (Ours)",0.8875,6.3739545173613,0,"LogNormal",46,3
"SPI",0.917,7.31671753576062,0.0499999999999972,"LogNormal",46,3
"Synthetic-only",0.9885,13.1139850034895,0,"LogNormal",46,3
"SCP",0.895,4.86528017570184,0,"Student-t",46,0.25
"RSA-CP (OT) (Ours)",0.8755,4.35952729884221,0,"Student-t",46,0.25
"SPI",0.924,5.52775613471227,0.0600000000000023,"Student-t",46,0.25
"Synthetic-only",0.9455,6.27359245545893,0.00999999999999091,"Student-t",46,0.25
"SCP",0.895,4.86528017570184,0,"Student-t",46,0.5
"RSA-CP (OT) (Ours)",0.8735,4.33702607619124,0,"Student-t",46,0.5
"SPI",0.924,5.52775613471227,0.0499999999999972,"Student-t",46,0.5
"Synthetic-only",0.953,6.5704976141917,0,"Student-t",46,0.5
"SCP",0.895,4.86528017570184,0,"Student-t",46,1
"RSA-CP (OT) (Ours)",0.875,4.35096183169025,0,"Student-t",46,1
"SPI",0.924,5.52775613471227,0.0600000000000023,"Student-t",46,1
"Synthetic-only",0.96,7.09350878916711,0.00999999999999091,"Student-t",46,1
"SCP",0.895,4.86528017570184,0,"Student-t",46,1.5
"RSA-CP (OT) (Ours)",0.8815,4.46590860069475,0,"Student-t",46,1.5
"SPI",0.924,5.52775613471227,0.0499999999999972,"Student-t",46,1.5
"Synthetic-only",0.973,8.28943099460521,0,"Student-t",46,1.5
"SCP",0.895,4.86528017570184,0,"Student-t",46,2
"RSA-CP (OT) (Ours)",0.88,4.42416401184595,0,"Student-t",46,2
"SPI",0.924,5.52775613471227,0.0499999999999972,"Student-t",46,2
"Synthetic-only",0.985,10.0937987616235,0,"Student-t",46,2
"SCP",0.895,4.86528017570184,0,"Student-t",46,3
"RSA-CP (OT) (Ours)",0.882,4.48023006947721,0.019999999999996,"Student-t",46,3
"SPI",0.924,5.52775613471227,0.0300000000000011,"Student-t",46,3
"Synthetic-only",0.996,13.6268395820102,0,"Student-t",46,3
"SCP",0.9095,7.02961309653926,0,"LogNormal",47,0.25
"RSA-CP (OT) (Ours)",0.908,6.95031964474016,0,"LogNormal",47,0.25
"SPI",0.906,6.87934480005116,0.0499999999999972,"LogNormal",47,0.25
"Synthetic-only",0.7275,4.29555750986607,0,"LogNormal",47,0.25
"SCP",0.9095,7.02961309653926,0,"LogNormal",47,0.5
"RSA-CP (OT) (Ours)",0.908,6.93480553839029,0,"LogNormal",47,0.5
"SPI",0.906,6.87934480005116,0.0500000000000114,"LogNormal",47,0.5
"Synthetic-only",0.8095,5.09605603822988,0,"LogNormal",47,0.5
"SCP",0.9095,7.02961309653926,0,"LogNormal",47,1
"RSA-CP (OT) (Ours)",0.908,6.93480553839029,0,"LogNormal",47,1
"SPI",0.906,6.87934480005116,0.0499999999999972,"LogNormal",47,1
"Synthetic-only",0.8995,6.60832180599835,0,"LogNormal",47,1
"SCP",0.9095,7.02961309653926,0,"LogNormal",47,1.5
"RSA-CP (OT) (Ours)",0.908,6.93866014073169,0,"LogNormal",47,1.5
"SPI",0.937,8.10943438387864,0.0500000000000114,"LogNormal",47,1.5
"Synthetic-only",0.937,8.10714773954182,0,"LogNormal",47,1.5
"SCP",0.9095,7.02961309653926,0,"LogNormal",47,2
"RSA-CP (OT) (Ours)",0.908,6.9394720364096,0.019999999999996,"LogNormal",47,2
"SPI",0.968,9.74332786686642,0.039999999999992,"LogNormal",47,2
"Synthetic-only",0.968,9.74292442537937,0,"LogNormal",47,2
"SCP",0.9095,7.02961309653926,0,"LogNormal",47,3
"RSA-CP (OT) (Ours)",0.908,6.94547809644397,0,"LogNormal",47,3
"SPI",0.9855,12.4009423423266,0.0500000000000114,"LogNormal",47,3
"Synthetic-only",0.986,12.8418818207992,0,"LogNormal",47,3
"SCP",0.942,6.15783932719332,0,"Student-t",47,0.25
"RSA-CP (OT) (Ours)",0.92,5.40789815957539,0,"Student-t",47,0.25
"SPI",0.9485,6.37472012866465,0.0400000000000063,"Student-t",47,0.25
"Synthetic-only",0.9485,6.34879750636132,0,"Student-t",47,0.25
"SCP",0.942,6.15783932719332,0,"Student-t",47,0.5
"RSA-CP (OT) (Ours)",0.924,5.51763021522358,0,"Student-t",47,0.5
"SPI",0.9515,6.52052762511528,0.0699999999999932,"Student-t",47,0.5
"Synthetic-only",0.9515,6.51958502921522,0,"Student-t",47,0.5
"SCP",0.942,6.15783932719332,0,"Student-t",47,1
"RSA-CP (OT) (Ours)",0.9245,5.5540560810089,0,"Student-t",47,1
"SPI",0.9635,7.46714602723055,0.0400000000000063,"Student-t",47,1
"Synthetic-only",0.963,7.45007701184954,0,"Student-t",47,1
"SCP",0.942,6.15783932719332,0,"Student-t",47,1.5
"RSA-CP (OT) (Ours)",0.9245,5.55510217743317,0.019999999999996,"Student-t",47,1.5
"SPI",0.9765,8.5598888028604,0.039999999999992,"Student-t",47,1.5
"Synthetic-only",0.9765,8.60562668001143,0,"Student-t",47,1.5
"SCP",0.942,6.15783932719332,0,"Student-t",47,2
"RSA-CP (OT) (Ours)",0.924,5.52651929327183,0,"Student-t",47,2
"SPI",0.9765,8.5598888028604,0.0500000000000114,"Student-t",47,2
"Synthetic-only",0.9845,9.78490181212941,0,"Student-t",47,2
"SCP",0.942,6.15783932719332,0,"Student-t",47,3
"RSA-CP (OT) (Ours)",0.923,5.479591119132,0,"Student-t",47,3
"SPI",0.9765,8.5598888028604,0.039999999999992,"Student-t",47,3
"Synthetic-only",0.9955,13.3607648836659,0,"Student-t",47,3
"SCP",0.9295,7.82599408866513,0,"LogNormal",48,0.25
"RSA-CP (OT) (Ours)",0.928,7.77594756054952,0.0200000000000102,"LogNormal",48,0.25
"SPI",0.927,7.73157844816931,0.0499999999999972,"LogNormal",48,0.25
"Synthetic-only",0.7275,4.28358132079314,0,"LogNormal",48,0.25
"SCP",0.9295,7.82599408866513,0,"LogNormal",48,0.5
"RSA-CP (OT) (Ours)",0.928,7.76531014938598,0,"LogNormal",48,0.5
"SPI",0.927,7.73157844816931,0.039999999999992,"LogNormal",48,0.5
"Synthetic-only",0.7985,4.94787560275634,0,"LogNormal",48,0.5
"SCP",0.9295,7.82599408866513,0,"LogNormal",48,1
"RSA-CP (OT) (Ours)",0.928,7.7690599660229,0,"LogNormal",48,1
"SPI",0.927,7.73157844816931,0.0700000000000074,"LogNormal",48,1
"Synthetic-only",0.9015,6.69124270915572,0.0200000000000102,"LogNormal",48,1
"SCP",0.9295,7.82599408866513,0,"LogNormal",48,1.5
"RSA-CP (OT) (Ours)",0.928,7.76514068325761,0.0100000000000051,"LogNormal",48,1.5
"SPI",0.9405,8.29656908241155,0.0499999999999972,"LogNormal",48,1.5
"Synthetic-only",0.9405,8.2958956675791,0,"LogNormal",48,1.5
"SCP",0.9295,7.82599408866513,0,"LogNormal",48,2
"RSA-CP (OT) (Ours)",0.928,7.76866578713629,0,"LogNormal",48,2
"SPI",0.947,8.50283732339159,0.0499999999999972,"LogNormal",48,2
"Synthetic-only",0.97,9.94415469476691,0,"LogNormal",48,2
"SCP",0.9295,7.82599408866513,0,"LogNormal",48,3
"RSA-CP (OT) (Ours)",0.928,7.76827711194998,0,"LogNormal",48,3
"SPI",0.947,8.50283732339159,0.0600000000000023,"LogNormal",48,3
"Synthetic-only",0.9895,13.2987105075134,0.0100000000000051,"LogNormal",48,3
"SCP",0.832,3.70129675923893,0,"Student-t",48,0.25
"RSA-CP (OT) (Ours)",0.79,3.26466504499286,0,"Student-t",48,0.25
"SPI",0.949,6.44944796273046,0.039999999999992,"Student-t",48,0.25
"Synthetic-only",0.949,6.44252356404552,0,"Student-t",48,0.25
"SCP",0.832,3.70129675923893,0,"Student-t",48,0.5
"RSA-CP (OT) (Ours)",0.798,3.37233097919775,0,"Student-t",48,0.5
"SPI",0.95,6.48107237838722,0.0700000000000074,"Student-t",48,0.5
"Synthetic-only",0.949,6.44730562858162,0.0200000000000102,"Student-t",48,0.5
"SCP",0.832,3.70129675923893,0,"Student-t",48,1
"RSA-CP (OT) (Ours)",0.796,3.34015312841419,0,"Student-t",48,1
"SPI",0.9645,7.55224666303016,0.039999999999992,"Student-t",48,1
"Synthetic-only",0.964,7.52025115577529,0,"Student-t",48,1
"SCP",0.832,3.70129675923893,0,"Student-t",48,1.5
"RSA-CP (OT) (Ours)",0.7995,3.38467543816055,0,"Student-t",48,1.5
"SPI",0.976,8.47648670970186,0.0499999999999972,"Student-t",48,1.5
"Synthetic-only",0.976,8.47136203342151,0,"Student-t",48,1.5
"SCP",0.832,3.70129675923893,0,"Student-t",48,2
"RSA-CP (OT) (Ours)",0.795,3.32853922866537,0.0100000000000051,"Student-t",48,2
"SPI",0.984,9.67765196463273,0.0299999999999869,"Student-t",48,2
"Synthetic-only",0.9825,9.6254645166506,0,"Student-t",48,2
"SCP",0.832,3.70129675923893,0,"Student-t",48,3
"RSA-CP (OT) (Ours)",0.795,3.33130822555483,0,"Student-t",48,3
"SPI",0.9955,13.0893175374716,0.0499999999999972,"Student-t",48,3
"Synthetic-only",0.9955,13.0491341347973,0,"Student-t",48,3
"SCP",0.9135,7.16995711630128,0,"LogNormal",49,0.25
"RSA-CP (OT) (Ours)",0.9105,7.09294344055927,0,"LogNormal",49,0.25
"SPI",0.91,7.03129219565351,0.0499999999999972,"LogNormal",49,0.25
"Synthetic-only",0.7275,4.27700934419781,0,"LogNormal",49,0.25
"SCP",0.9135,7.16995711630128,0,"LogNormal",49,0.5
"RSA-CP (OT) (Ours)",0.91,7.08311811277703,0.00999999999999091,"LogNormal",49,0.5
"SPI",0.91,7.03129219565351,0.0500000000000114,"LogNormal",49,0.5
"Synthetic-only",0.8045,5.02333912922673,0,"LogNormal",49,0.5
"SCP",0.9135,7.16995711630128,0,"LogNormal",49,1
"RSA-CP (OT) (Ours)",0.9105,7.09418101517021,0,"LogNormal",49,1
"SPI",0.91,7.03129219565351,0.0499999999999972,"LogNormal",49,1
"Synthetic-only",0.9015,6.68183446140897,0,"LogNormal",49,1
"SCP",0.9135,7.16995711630128,0,"LogNormal",49,1.5
"RSA-CP (OT) (Ours)",0.91,7.07388865151228,0.00999999999999091,"LogNormal",49,1.5
"SPI",0.9155,7.24090181799111,0.0500000000000114,"LogNormal",49,1.5
"Synthetic-only",0.943,8.36191409374345,0,"LogNormal",49,1.5
"SCP",0.9135,7.16995711630128,0,"LogNormal",49,2
"RSA-CP (OT) (Ours)",0.91,7.0788063985259,0,"LogNormal",49,2
"SPI",0.9155,7.24090181799111,0.0499999999999972,"LogNormal",49,2
"Synthetic-only",0.9705,9.96583966849736,0,"LogNormal",49,2
"SCP",0.9135,7.16995711630128,0,"LogNormal",49,3
"RSA-CP (OT) (Ours)",0.91,7.05760624899429,0,"LogNormal",49,3
"SPI",0.9155,7.24090181799111,0.0600000000000023,"LogNormal",49,3
"Synthetic-only",0.9885,13.1368275359875,0.0100000000000051,"LogNormal",49,3
"SCP",0.942,6.1563728634432,0,"Student-t",49,0.25
"RSA-CP (OT) (Ours)",0.9415,6.14336258211553,0.019999999999996,"Student-t",49,0.25
"SPI",0.953,6.59141318249695,0.0300000000000011,"Student-t",49,0.25
"Synthetic-only",0.953,6.5683543103075,0.0100000000000051,"Student-t",49,0.25
"SCP",0.942,6.1563728634432,0,"Student-t",49,0.5
"RSA-CP (OT) (Ours)",0.9415,6.13129714499382,0,"Student-t",49,0.5
"SPI",0.954,6.66498315597624,0.0499999999999972,"Student-t",49,0.5
"Synthetic-only",0.9535,6.64186425670018,0,"Student-t",49,0.5
"SCP",0.942,6.1563728634432,0,"Student-t",49,1
"RSA-CP (OT) (Ours)",0.9415,6.12245537609305,0.00999999999999091,"Student-t",49,1
"SPI",0.965,7.60774258906456,0.0500000000000114,"Student-t",49,1
"Synthetic-only",0.9655,7.66980121633931,0,"Student-t",49,1
"SCP",0.942,6.1563728634432,0,"Student-t",49,1.5
"RSA-CP (OT) (Ours)",0.9415,6.12831241008464,0,"Student-t",49,1.5
"SPI",0.965,7.60774258906456,0.0499999999999972,"Student-t",49,1.5
"Synthetic-only",0.975,8.40380613117039,0,"Student-t",49,1.5
"SCP",0.942,6.1563728634432,0,"Student-t",49,2
"RSA-CP (OT) (Ours)",0.9415,6.10463432574116,0,"Student-t",49,2
"SPI",0.965,7.60774258906456,0.0600000000000023,"Student-t",49,2
"Synthetic-only",0.985,9.95086865755204,0.00999999999999091,"Student-t",49,2
"SCP",0.942,6.1563728634432,0,"Student-t",49,3
"RSA-CP (OT) (Ours)",0.9415,6.12830620275927,0,"Student-t",49,3
"SPI",0.965,7.60774258906456,0.0499999999999972,"Student-t",49,3
"Synthetic-only",0.996,13.6523828793953,0,"Student-t",49,3
"SCP",0.9565,8.99283274376918,0,"LogNormal",50,0.25
"RSA-CP (OT) (Ours)",0.9535,8.84146331311342,0.0200000000000102,"LogNormal",50,0.25
"SPI",0.9525,8.76459744210609,0.0300000000000011,"LogNormal",50,0.25
"Synthetic-only",0.7295,4.30539535426511,0,"LogNormal",50,0.25
"SCP",0.9565,8.99283274376918,0,"LogNormal",50,0.5
"RSA-CP (OT) (Ours)",0.9535,8.84146331311342,0,"LogNormal",50,0.5
"SPI",0.9525,8.76459744210609,0.0600000000000023,"LogNormal",50,0.5
"Synthetic-only",0.8035,5.01724432360897,0.019999999999996,"LogNormal",50,0.5
"SCP",0.9565,8.99283274376918,0,"LogNormal",50,1
"RSA-CP (OT) (Ours)",0.9535,8.84146331311342,0.019999999999996,"LogNormal",50,1
"SPI",0.9525,8.76459744210609,0.0499999999999972,"LogNormal",50,1
"Synthetic-only",0.9,6.62515812252608,0,"LogNormal",50,1
"SCP",0.9565,8.99283274376918,0,"LogNormal",50,1.5
"RSA-CP (OT) (Ours)",0.9535,8.84146331311342,0,"LogNormal",50,1.5
"SPI",0.9525,8.76459744210609,0.0400000000000063,"LogNormal",50,1.5
"Synthetic-only",0.946,8.43288440200399,0,"LogNormal",50,1.5
"SCP",0.9565,8.99283274376918,0,"LogNormal",50,2
"RSA-CP (OT) (Ours)",0.9535,8.84146331311342,0,"LogNormal",50,2
"SPI",0.9705,10.0506122849048,0.039999999999992,"LogNormal",50,2
"Synthetic-only",0.9705,10.0453635174785,0,"LogNormal",50,2
"SCP",0.9565,8.99283274376918,0,"LogNormal",50,3
"RSA-CP (OT) (Ours)",0.9535,8.84146331311342,0.0200000000000102,"LogNormal",50,3
"SPI",0.9885,13.1536009967299,0.0499999999999972,"LogNormal",50,3
"Synthetic-only",0.9885,13.1301389948871,0,"LogNormal",50,3
"SCP",0.976,8.48187414565126,0,"Student-t",50,0.25
"RSA-CP (OT) (Ours)",0.973,8.29818994890167,0,"Student-t",50,0.25
"SPI",0.973,8.23331376308765,0.039999999999992,"Student-t",50,0.25
"Synthetic-only",0.949,6.4376696982229,0,"Student-t",50,0.25
"SCP",0.976,8.48187414565126,0,"Student-t",50,0.5
"RSA-CP (OT) (Ours)",0.9735,8.32064399918717,0.0200000000000102,"Student-t",50,0.5
"SPI",0.973,8.23331376308765,0.0499999999999972,"Student-t",50,0.5
"Synthetic-only",0.954,6.76549185729647,0,"Student-t",50,0.5
"SCP",0.976,8.48187414565126,0,"Student-t",50,1
"RSA-CP (OT) (Ours)",0.973,8.28944589981059,0,"Student-t",50,1
"SPI",0.973,8.23331376308765,0.039999999999992,"Student-t",50,1
"Synthetic-only",0.9615,7.14976144792766,0,"Student-t",50,1
"SCP",0.976,8.48187414565126,0,"Student-t",50,1.5
"RSA-CP (OT) (Ours)",0.973,8.25152693371851,0,"Student-t",50,1.5
"SPI",0.976,8.53338314512197,0.0499999999999972,"Student-t",50,1.5
"Synthetic-only",0.976,8.52495101997933,0,"Student-t",50,1.5
"SCP",0.976,8.48187414565126,0,"Student-t",50,2
"RSA-CP (OT) (Ours)",0.9735,8.32030187585804,0.0100000000000051,"Student-t",50,2
"SPI",0.985,9.9621483822369,0.0499999999999972,"Student-t",50,2
"Synthetic-only",0.985,9.95654442326065,0,"Student-t",50,2
"SCP",0.976,8.48187414565126,0,"Student-t",50,3
"RSA-CP (OT) (Ours)",0.9735,8.31327393410722,0,"Student-t",50,3
"SPI",0.996,13.577961560224,0.0499999999999972,"Student-t",50,3
"Synthetic-only",0.996,13.5737288614268,0,"Student-t",50,3
"SCP",0.979,11.3384268056603,0,"LogNormal",51,0.25
"RSA-CP (OT) (Ours)",0.968,9.7517746999344,0,"LogNormal",51,0.25
"SPI",0.9505,8.61994658951442,0.0499999999999972,"LogNormal",51,0.25
"Synthetic-only",0.7275,4.28893740133628,0,"LogNormal",51,0.25
"SCP",0.979,11.3384268056603,0,"LogNormal",51,0.5
"RSA-CP (OT) (Ours)",0.9675,9.69285158996501,0.00999999999999091,"LogNormal",51,0.5
"SPI",0.9505,8.61994658951442,0.0500000000000114,"LogNormal",51,0.5
"Synthetic-only",0.8045,5.02436767605695,0,"LogNormal",51,0.5
"SCP",0.979,11.3384268056603,0,"LogNormal",51,1
"RSA-CP (OT) (Ours)",0.968,9.7812362549191,0,"LogNormal",51,1
"SPI",0.9505,8.61994658951442,0.0499999999999972,"LogNormal",51,1
"Synthetic-only",0.8985,6.58684048161164,0,"LogNormal",51,1
"SCP",0.979,11.3384268056603,0,"LogNormal",51,1.5
"RSA-CP (OT) (Ours)",0.968,9.78047963196243,0,"LogNormal",51,1.5
"SPI",0.9505,8.61994658951442,0.0499999999999972,"LogNormal",51,1.5
"Synthetic-only",0.945,8.4175396432327,0,"LogNormal",51,1.5
"SCP",0.979,11.3384268056603,0,"LogNormal",51,2
"RSA-CP (OT) (Ours)",0.9705,9.98203181074321,0.019999999999996,"LogNormal",51,2
"SPI",0.972,10.2220889862902,0.0400000000000063,"LogNormal",51,2
"Synthetic-only",0.972,10.2007374214213,0,"LogNormal",51,2
"SCP",0.979,11.3384268056603,0,"LogNormal",51,3
"RSA-CP (OT) (Ours)",0.968,9.85815539090818,0,"LogNormal",51,3
"SPI",0.9815,11.7748014755502,0.0499999999999972,"LogNormal",51,3
"Synthetic-only",0.988,13.0099990333156,0,"LogNormal",51,3
"SCP",0.949,6.47447367331678,0,"Student-t",51,0.25
"RSA-CP (OT) (Ours)",0.937,5.87302288070813,0.00999999999999091,"Student-t",51,0.25
"SPI",0.949,6.39439720268146,0.0500000000000114,"Student-t",51,0.25
"Synthetic-only",0.9485,6.37080592324698,0,"Student-t",51,0.25
"SCP",0.949,6.47447367331678,0,"Student-t",51,0.5
"RSA-CP (OT) (Ours)",0.9395,5.93354270389402,0,"Student-t",51,0.5
"SPI",0.956,6.89570868606495,0.0499999999999972,"Student-t",51,0.5
"Synthetic-only",0.956,6.88616036765602,0,"Student-t",51,0.5
"SCP",0.949,6.47447367331678,0,"Student-t",51,1
"RSA-CP (OT) (Ours)",0.938,5.91986515605746,0.00999999999999091,"Student-t",51,1
"SPI",0.967,7.77508633502672,0.0500000000000114,"Student-t",51,1
"Synthetic-only",0.9665,7.76761998696488,0,"Student-t",51,1
"SCP",0.949,6.47447367331678,0,"Student-t",51,1.5
"RSA-CP (OT) (Ours)",0.9395,5.96786377820346,0,"Student-t",51,1.5
"SPI",0.9775,8.69688224495597,0.0499999999999972,"Student-t",51,1.5
"Synthetic-only",0.9775,8.68998912724467,0,"Student-t",51,1.5
"SCP",0.949,6.47447367331678,0,"Student-t",51,2
"RSA-CP (OT) (Ours)",0.9375,5.90827318316348,0.00999999999999091,"Student-t",51,2
"SPI",0.9785,8.95011605409682,0.0500000000000114,"Student-t",51,2
"Synthetic-only",0.9845,9.73475623514103,0,"Student-t",51,2
"SCP",0.949,6.47447367331678,0,"Student-t",51,3
"RSA-CP (OT) (Ours)",0.937,5.86745426467784,0,"Student-t",51,3
"SPI",0.9785,8.95011605409682,0.0300000000000011,"Student-t",51,3
"Synthetic-only",0.9955,13.3384872888685,0,"Student-t",51,3
"SCP",0.971,10.1030554798394,0,"LogNormal",52,0.25
"RSA-CP (OT) (Ours)",0.969,9.93338453187245,0,"LogNormal",52,0.25
"SPI",0.968,9.826346479461,0.0499999999999972,"LogNormal",52,0.25
"Synthetic-only",0.7275,4.29663018610725,0,"LogNormal",52,0.25
"SCP",0.971,10.1030554798394,0,"LogNormal",52,0.5
"RSA-CP (OT) (Ours)",0.9705,9.96192874029738,0,"LogNormal",52,0.5
"SPI",0.968,9.826346479461,0.0600000000000023,"LogNormal",52,0.5
"Synthetic-only",0.809,5.08387121420609,0.019999999999996,"LogNormal",52,0.5
"SCP",0.971,10.1030554798394,0,"LogNormal",52,1
"RSA-CP (OT) (Ours)",0.969,9.93338453187245,0,"LogNormal",52,1
"SPI",0.968,9.826346479461,0.0599999999999881,"LogNormal",52,1
"Synthetic-only",0.9025,6.73829051156927,0,"LogNormal",52,1
