"Method","Cov","Width","Time","Dataset","Trial","Noise"
"RSA-CP (OT) (Ours)",0.967,7.77413330294425,0,"Student-t",3,3
"SPI",0.9925,12.177122151373,0.0500000000000043,"Student-t",3,3
"Synthetic-only",0.996,13.6767795668011,0,"Student-t",3,3
"SCP",0.9855,12.5081372123719,0,"LogNormal",4,0.25
"RSA-CP (OT) (Ours)",0.981,11.6580104098786,0,"LogNormal",4,0.25
"SPI",0.973,10.3368454097783,0.0499999999999972,"LogNormal",4,0.25
"Synthetic-only",0.7295,4.31101367183843,0,"LogNormal",4,0.25
"SCP",0.9855,12.5081372123719,0,"LogNormal",4,0.5
"RSA-CP (OT) (Ours)",0.979,11.3586072532846,0,"LogNormal",4,0.5
"SPI",0.973,10.3368454097783,0.0600000000000023,"LogNormal",4,0.5
"Synthetic-only",0.8055,5.03439833001227,0.0200000000000031,"LogNormal",4,0.5
"SCP",0.9855,12.5081372123719,0,"LogNormal",4,1
"RSA-CP (OT) (Ours)",0.978,11.265043766849,0,"LogNormal",4,1
"SPI",0.973,10.3368454097783,0.0499999999999972,"LogNormal",4,1
"Synthetic-only",0.9,6.62621118424145,0,"LogNormal",4,1
"SCP",0.9855,12.5081372123719,0,"LogNormal",4,1.5
"RSA-CP (OT) (Ours)",0.9795,11.4521707397203,0,"LogNormal",4,1.5
"SPI",0.973,10.3368454097783,0.0600000000000023,"LogNormal",4,1.5
"Synthetic-only",0.939,8.26010799395166,0.0200000000000031,"LogNormal",4,1.5
"SCP",0.9855,12.5081372123719,0,"LogNormal",4,2
"RSA-CP (OT) (Ours)",0.979,11.3628964612135,0,"LogNormal",4,2
"SPI",0.973,10.3368454097783,0.0500000000000043,"LogNormal",4,2
"Synthetic-only",0.9705,10.0627493753502,0,"LogNormal",4,2
"SCP",0.9855,12.5081372123719,0,"LogNormal",4,3
"RSA-CP (OT) (Ours)",0.978,11.2514610338717,0,"LogNormal",4,3
"SPI",0.988,13.0647529850449,0.0599999999999952,"LogNormal",4,3
"Synthetic-only",0.988,13.0217996266695,0.00999999999999801,"LogNormal",4,3
"SCP",0.9655,7.63006918809089,0,"Student-t",4,0.25
"RSA-CP (OT) (Ours)",0.954,6.74492253751208,0,"Student-t",4,0.25
"SPI",0.954,6.6812258510413,0.0500000000000043,"Student-t",4,0.25
"Synthetic-only",0.954,6.66061616224254,0,"Student-t",4,0.25
"SCP",0.9655,7.63006918809089,0,"Student-t",4,0.5
"RSA-CP (OT) (Ours)",0.956,6.83534669974471,0.00999999999999801,"Student-t",4,0.5
"SPI",0.953,6.62073394508743,0.0499999999999972,"Student-t",4,0.5
"Synthetic-only",0.953,6.59904170415192,0,"Student-t",4,0.5
"SCP",0.9655,7.63006918809089,0,"Student-t",4,1
"RSA-CP (OT) (Ours)",0.956,6.81081108981876,0,"Student-t",4,1
"SPI",0.9645,7.5340779671911,0.0500000000000043,"Student-t",4,1
"Synthetic-only",0.9645,7.53182054337744,0,"Student-t",4,1
"SCP",0.9655,7.63006918809089,0,"Student-t",4,1.5
"RSA-CP (OT) (Ours)",0.956,6.81372537123625,0.00999999999999801,"Student-t",4,1.5
"SPI",0.9745,8.38760428534233,0.0499999999999972,"Student-t",4,1.5
"Synthetic-only",0.9775,8.7443511838562,0,"Student-t",4,1.5
"SCP",0.9655,7.63006918809089,0,"Student-t",4,2
"RSA-CP (OT) (Ours)",0.957,6.94854473641111,0,"Student-t",4,2
"SPI",0.9745,8.38760428534233,0.0500000000000043,"Student-t",4,2
"Synthetic-only",0.9875,10.6199941055852,0,"Student-t",4,2
"SCP",0.9655,7.63006918809089,0,"Student-t",4,3
"RSA-CP (OT) (Ours)",0.954,6.758718888082,0.00999999999999801,"Student-t",4,3
"SPI",0.9745,8.38760428534233,0.0300000000000011,"Student-t",4,3
"Synthetic-only",0.9955,13.1870415576064,0,"Student-t",4,3
"SCP",0.99,13.5311236464401,0,"LogNormal",5,0.25
"RSA-CP (OT) (Ours)",0.9745,10.451907699527,0.0200000000000031,"LogNormal",5,0.25
"SPI",0.946,8.42152715035636,0.0300000000000011,"LogNormal",5,0.25
"Synthetic-only",0.7305,4.31757013919871,0,"LogNormal",5,0.25
"SCP",0.99,13.5311236464401,0,"LogNormal",5,0.5
"RSA-CP (OT) (Ours)",0.9765,11.0462318628334,0,"LogNormal",5,0.5
"SPI",0.946,8.42152715035636,0.0500000000000043,"LogNormal",5,0.5
"Synthetic-only",0.8055,5.05276989959176,0,"LogNormal",5,0.5
"SCP",0.99,13.5311236464401,0,"LogNormal",5,1
"RSA-CP (OT) (Ours)",0.9755,10.7183288761816,0.00999999999999801,"LogNormal",5,1
"SPI",0.946,8.42152715035636,0.0499999999999972,"LogNormal",5,1
"Synthetic-only",0.897,6.56425811063426,0,"LogNormal",5,1
"SCP",0.99,13.5311236464401,0,"LogNormal",5,1.5
"RSA-CP (OT) (Ours)",0.9745,10.451907699527,0,"LogNormal",5,1.5
"SPI",0.946,8.42152715035636,0.0500000000000043,"LogNormal",5,1.5
"Synthetic-only",0.9335,7.9993425267543,0,"LogNormal",5,1.5
"SCP",0.99,13.5311236464401,0,"LogNormal",5,2
"RSA-CP (OT) (Ours)",0.975,10.5586824551344,0.00999999999999801,"LogNormal",5,2
"SPI",0.9705,10.0057582383143,0.0499999999999972,"LogNormal",5,2
"Synthetic-only",0.9705,9.98855401080583,0,"LogNormal",5,2
"SCP",0.99,13.5311236464401,0,"LogNormal",5,3
"RSA-CP (OT) (Ours)",0.976,10.7746598888221,0.0200000000000031,"LogNormal",5,3
"SPI",0.988,13.0827781249252,0.0300000000000011,"LogNormal",5,3
"Synthetic-only",0.988,13.066697673202,0.00999999999999801,"LogNormal",5,3
"SCP",0.9395,5.95010522553267,0,"Student-t",5,0.25
"RSA-CP (OT) (Ours)",0.934,5.81495286146083,0,"Student-t",5,0.25
"SPI",0.954,6.71525530133073,0.0499999999999972,"Student-t",5,0.25
"Synthetic-only",0.954,6.66616118186258,0,"Student-t",5,0.25
"SCP",0.9395,5.95010522553267,0,"Student-t",5,0.5
"RSA-CP (OT) (Ours)",0.935,5.82671989871742,0.0200000000000031,"Student-t",5,0.5
"SPI",0.949,6.39282364630435,0.0300000000000011,"Student-t",5,0.5
"Synthetic-only",0.9485,6.38079053167151,0,"Student-t",5,0.5
"SCP",0.9395,5.95010522553267,0,"Student-t",5,1
"RSA-CP (OT) (Ours)",0.933,5.79297860541665,0,"Student-t",5,1
