"Cov","Width","Dataset","Trial","Score_Distribution"
0.8905,6.15715228956185,"LogNormal",32,"RSA-CP Gamma"
0.891,6.17191814750522,"LogNormal",32,"RSA-CP Normal"
0.891,6.17054711430171,"LogNormal",32,"RSA-CP Beta"
0.9685,7.55971345637142,"Student-t",32,"SCP"
0.942,5.94485936004051,"Student-t",32,"RSA-CP Gamma"
0.949,6.25590590695926,"Student-t",32,"RSA-CP Normal"
0.9465,6.18362332297202,"Student-t",32,"RSA-CP Beta"
0.9835,12.1533549008919,"LogNormal",33,"SCP"
0.983,12.0295882294974,"LogNormal",33,"RSA-CP Gamma"
0.983,12.0178453125216,"LogNormal",33,"RSA-CP Normal"
0.983,12.0394903723207,"LogNormal",33,"RSA-CP Beta"
0.994,11.9252931160108,"Student-t",33,"SCP"
0.976,8.22266567086407,"Student-t",33,"RSA-CP Gamma"
0.973,7.93304268358329,"Student-t",33,"RSA-CP Normal"
0.9775,8.29374442076187,"Student-t",33,"RSA-CP Beta"
0.9215,6.88974045215622,"LogNormal",34,"SCP"
0.913,6.604514160629,"LogNormal",34,"RSA-CP Gamma"
0.912,6.59653271572702,"LogNormal",34,"RSA-CP Normal"
0.912,6.59864406077384,"LogNormal",34,"RSA-CP Beta"
0.9735,8.00123617745933,"Student-t",34,"SCP"
0.966,7.257657517873,"Student-t",34,"RSA-CP Gamma"
0.9685,7.5185839707058,"Student-t",34,"RSA-CP Normal"
0.9665,7.35776859616729,"Student-t",34,"RSA-CP Beta"
0.9605,8.76817540198401,"LogNormal",35,"SCP"
0.959,8.64408039331942,"LogNormal",35,"RSA-CP Gamma"
0.959,8.63945647871939,"LogNormal",35,"RSA-CP Normal"
0.959,8.63906291595286,"LogNormal",35,"RSA-CP Beta"
0.9935,11.8572109724253,"Student-t",35,"SCP"
0.986,10.0169891350067,"Student-t",35,"RSA-CP Gamma"
0.9855,9.77165884941557,"Student-t",35,"RSA-CP Normal"
0.986,9.89511675151818,"Student-t",35,"RSA-CP Beta"
0.9755,10.2914615738667,"LogNormal",36,"SCP"
0.9535,8.08017782337994,"LogNormal",36,"RSA-CP Gamma"
0.959,8.61588773195089,"LogNormal",36,"RSA-CP Normal"
0.9565,8.29175502508397,"LogNormal",36,"RSA-CP Beta"
0.8655,4.13105023819289,"Student-t",36,"SCP"
0.8315,3.63601933117555,"Student-t",36,"RSA-CP Gamma"
0.8265,3.58851310027274,"Student-t",36,"RSA-CP Normal"
0.8275,3.60811325189853,"Student-t",36,"RSA-CP Beta"
0.9485,7.71506548702876,"LogNormal",37,"SCP"
0.938,7.29136481644577,"LogNormal",37,"RSA-CP Gamma"
0.9405,7.33986094452401,"LogNormal",37,"RSA-CP Normal"
0.9365,7.26259925037113,"LogNormal",37,"RSA-CP Beta"
0.962,6.96938749889497,"Student-t",37,"SCP"
0.9495,6.29499239781394,"Student-t",37,"RSA-CP Gamma"
0.952,6.38204237091494,"Student-t",37,"RSA-CP Normal"
0.9525,6.4121817906221,"Student-t",37,"RSA-CP Beta"
0.9675,9.42123354958572,"LogNormal",38,"SCP"
0.9615,8.80187165157505,"LogNormal",38,"RSA-CP Gamma"
0.9615,8.81530623824264,"LogNormal",38,"RSA-CP Normal"
0.9615,8.80632341915979,"LogNormal",38,"RSA-CP Beta"
0.9565,6.60810881484742,"Student-t",38,"SCP"
0.943,5.97145180391954,"Student-t",38,"RSA-CP Gamma"
0.9425,5.95319122518913,"Student-t",38,"RSA-CP Normal"
0.9435,5.98781354757261,"Student-t",38,"RSA-CP Beta"
0.882,5.98097153664734,"LogNormal",39,"SCP"
0.8565,5.51747342258915,"LogNormal",39,"RSA-CP Gamma"
0.8595,5.59747220768528,"LogNormal",39,"RSA-CP Normal"
0.8565,5.52017550323394,"LogNormal",39,"RSA-CP Beta"
0.944,6.00209993466904,"Student-t",39,"SCP"
0.923,5.34829837679394,"Student-t",39,"RSA-CP Gamma"
0.9245,5.38149256845005,"Student-t",39,"RSA-CP Normal"
0.9235,5.36170766930134,"Student-t",39,"RSA-CP Beta"
0.982,11.8848138805531,"LogNormal",40,"SCP"
0.978,10.4484599457464,"LogNormal",40,"RSA-CP Gamma"
0.9775,10.4199468460937,"LogNormal",40,"RSA-CP Normal"
0.9765,10.3274690537819,"LogNormal",40,"RSA-CP Beta"
0.9795,8.54837288919441,"Student-t",40,"SCP"
0.967,7.43092363761466,"Student-t",40,"RSA-CP Gamma"
0.968,7.48935245424389,"Student-t",40,"RSA-CP Normal"
0.968,7.49675913703864,"Student-t",40,"RSA-CP Beta"
0.929,7.10904258200192,"LogNormal",41,"SCP"
0.9225,6.91660167393356,"LogNormal",41,"RSA-CP Gamma"
0.9215,6.89815801893995,"LogNormal",41,"RSA-CP Normal"
0.9245,6.93643426200282,"LogNormal",41,"RSA-CP Beta"
0.9895,10.9996685622367,"Student-t",41,"SCP"
0.9875,10.4052473260773,"Student-t",41,"RSA-CP Gamma"
0.987,10.3542665600574,"Student-t",41,"RSA-CP Normal"
0.9875,10.4332016875354,"Student-t",41,"RSA-CP Beta"
0.98,11.0980824779827,"LogNormal",42,"SCP"
0.9705,9.85471114057752,"LogNormal",42,"RSA-CP Gamma"
0.9705,9.85529981256087,"LogNormal",42,"RSA-CP Normal"
0.9705,9.94696848949365,"LogNormal",42,"RSA-CP Beta"
0.943,5.96993722715164,"Student-t",42,"SCP"
0.937,5.83308418313667,"Student-t",42,"RSA-CP Gamma"
0.937,5.83244256710212,"Student-t",42,"RSA-CP Normal"
0.937,5.82797738247551,"Student-t",42,"RSA-CP Beta"
0.9575,8.47232689258015,"LogNormal",43,"SCP"
0.9455,7.43439682648572,"LogNormal",43,"RSA-CP Gamma"
0.9455,7.43031352409239,"LogNormal",43,"RSA-CP Normal"
0.946,7.4716195884163,"LogNormal",43,"RSA-CP Beta"
0.97,7.7123558329485,"Student-t",43,"SCP"
0.9525,6.41489058228002,"Student-t",43,"RSA-CP Gamma"
0.9465,6.17889808648123,"Student-t",43,"RSA-CP Normal"
0.9525,6.40606934098318,"Student-t",43,"RSA-CP Beta"
0.963,8.89441639121857,"LogNormal",44,"SCP"
0.957,8.41810547584416,"LogNormal",44,"RSA-CP Gamma"
0.957,8.38282790414672,"LogNormal",44,"RSA-CP Normal"
0.957,8.37805461510569,"LogNormal",44,"RSA-CP Beta"
0.926,5.44141492552431,"Student-t",44,"SCP"
0.9245,5.37914764961757,"Student-t",44,"RSA-CP Gamma"
0.924,5.37416210641405,"Student-t",44,"RSA-CP Normal"
0.9245,5.38474032546892,"Student-t",44,"RSA-CP Beta"
