"Method","Cov","Width","Time","Dataset","Trial","N","N_cal"
"SPI",0.965,9.9541092522122,0.039999999999992,"LogNormal",34,3000,40
"Synthetic-only",0.941,8.28072253445112,0,"LogNormal",34,3000,40
"SCP",0.957,6.16818884321549,0,"Student-t",34,3000,40
"RSA-CP (OT) (Ours)",0.9545,6.06169978865133,0,"Student-t",34,3000,40
"SPI",0.9915,11.2059903381323,0.0700000000000074,"Student-t",34,3000,40
"Synthetic-only",0.9915,11.1720355516299,0,"Student-t",34,3000,40
"SCP",0.9005,6.98310735787382,0,"LogNormal",35,3000,40
"RSA-CP (OT) (Ours)",0.897,6.86714205065297,0.0100000000000051,"LogNormal",35,3000,40
"SPI",0.96,9.43170918179676,0.0499999999999972,"LogNormal",35,3000,40
"Synthetic-only",0.9595,9.38314781678899,0,"LogNormal",35,3000,40
"SCP",0.941,5.51692033371786,0,"Student-t",35,3000,40
"RSA-CP (OT) (Ours)",0.907,4.62010223195701,0,"Student-t",35,3000,40
"SPI",0.948,5.68262427980919,0.0499999999999972,"Student-t",35,3000,40
"Synthetic-only",0.992,11.5382740158971,0,"Student-t",35,3000,40
"SCP",0.9095,7.27361940651639,0,"LogNormal",36,3000,40
"RSA-CP (OT) (Ours)",0.857,6.01456993256547,0.019999999999996,"LogNormal",36,3000,40
"SPI",0.9355,8.11621470291235,0.039999999999992,"LogNormal",36,3000,40
"Synthetic-only",0.9795,12.1003343378024,0,"LogNormal",36,3000,40
"SCP",0.958,6.26247879620878,0,"Student-t",36,3000,40
"RSA-CP (OT) (Ours)",0.9405,5.47878694935368,0,"Student-t",36,3000,40
"SPI",0.9695,7.03981946046534,0.0700000000000074,"Student-t",36,3000,40
"Synthetic-only",0.9925,11.6558248598387,0.0200000000000102,"Student-t",36,3000,40
"SCP",0.9745,11.1917515292137,0,"LogNormal",37,3000,40
"RSA-CP (OT) (Ours)",0.957,9.26560537400055,0.0100000000000051,"LogNormal",37,3000,40
"SPI",0.9775,11.6683399967408,0.0499999999999972,"LogNormal",37,3000,40
"Synthetic-only",0.9875,13.6321476763001,0,"LogNormal",37,3000,40
"SCP",0.9695,6.99644965700214,0,"Student-t",37,3000,40
"RSA-CP (OT) (Ours)",0.939,5.39872779047453,0,"Student-t",37,3000,40
"SPI",0.9785,7.75130264056091,0.0499999999999972,"Student-t",37,3000,40
"Synthetic-only",0.9945,12.2702453810375,0.00999999999999091,"Student-t",37,3000,40
"SCP",0.976,11.4231259638409,0,"LogNormal",38,3000,40
"RSA-CP (OT) (Ours)",0.975,11.2034339893094,0,"LogNormal",38,3000,40
"SPI",0.975,11.240508978838,0.0599999999999881,"LogNormal",38,3000,40
"Synthetic-only",0.9605,9.51675007021413,0.019999999999996,"LogNormal",38,3000,40
"SCP",0.969,6.96666768345307,0,"Student-t",38,3000,40
"RSA-CP (OT) (Ours)",0.9595,6.35998084178512,0,"Student-t",38,3000,40
"SPI",0.972,7.27751787486969,0.0500000000000114,"Student-t",38,3000,40
"Synthetic-only",0.9905,10.7005947606915,0,"Student-t",38,3000,40
"SCP",0.8895,6.71808714258639,0,"LogNormal",39,3000,40
"RSA-CP (OT) (Ours)",0.875,6.30097938401828,0,"LogNormal",39,3000,40
"SPI",0.9765,11.5728048278444,0.039999999999992,"LogNormal",39,3000,40
"Synthetic-only",0.974,11.1826920006973,0,"LogNormal",39,3000,40
"SCP",0.9265,4.99146065531952,0,"Student-t",39,3000,40
"RSA-CP (OT) (Ours)",0.9195,4.81479265422911,0,"Student-t",39,3000,40
"SPI",0.928,5.08854708105842,0.0499999999999972,"Student-t",39,3000,40
"Synthetic-only",0.9915,11.0947084702955,0,"Student-t",39,3000,40
"SCP",0.952,8.86770822321557,0,"LogNormal",40,3000,40
"RSA-CP (OT) (Ours)",0.9505,8.82077142749644,0,"LogNormal",40,3000,40
"SPI",0.9815,12.2829382044369,0.0499999999999972,"LogNormal",40,3000,40
"Synthetic-only",0.978,11.8543320139026,0,"LogNormal",40,3000,40
"SCP",0.9885,9.85301865348929,0,"Student-t",40,3000,40
"RSA-CP (OT) (Ours)",0.982,8.32645690523956,0.00999999999999091,"Student-t",40,3000,40
"SPI",0.9895,10.1679733156819,0.0500000000000114,"Student-t",40,3000,40
"Synthetic-only",0.9915,11.234788820079,0,"Student-t",40,3000,40
"SCP",0.9365,8.15475744456515,0,"LogNormal",41,3000,40
"RSA-CP (OT) (Ours)",0.9205,7.63018191725721,0.019999999999996,"LogNormal",41,3000,40
"SPI",0.9695,10.5880149994591,0.039999999999992,"LogNormal",41,3000,40
"Synthetic-only",0.9815,12.2328431651078,0,"LogNormal",41,3000,40
"SCP",0.9405,5.4704668837002,0,"Student-t",41,3000,40
"RSA-CP (OT) (Ours)",0.9165,4.74329586830837,0.0200000000000102,"Student-t",41,3000,40
"SPI",0.9895,10.3784759923803,0.0499999999999972,"Student-t",41,3000,40
"Synthetic-only",0.9895,10.3216496383626,0,"Student-t",41,3000,40
"SCP",0.964,9.86169544210738,0,"LogNormal",42,3000,40
"RSA-CP (OT) (Ours)",0.963,9.76871401793236,0.0100000000000051,"LogNormal",42,3000,40
"SPI",0.966,10.0571434027462,0.0499999999999972,"LogNormal",42,3000,40
"Synthetic-only",0.976,11.5443183256602,0,"LogNormal",42,3000,40
"SCP",0.9675,6.7878827064144,0,"Student-t",42,3000,40
"RSA-CP (OT) (Ours)",0.9645,6.58928244299534,0,"Student-t",42,3000,40
"SPI",0.982,8.45824172593648,0.0499999999999972,"Student-t",42,3000,40
"Synthetic-only",0.9935,11.8772371386813,0.00999999999999091,"Student-t",42,3000,40
"SCP",0.945,8.4607139533095,0,"LogNormal",43,3000,40
"RSA-CP (OT) (Ours)",0.9425,8.37994080038859,0,"LogNormal",43,3000,40
"SPI",0.9655,9.98859896145344,0.0599999999999881,"LogNormal",43,3000,40
"Synthetic-only",0.987,13.4137320985795,0.019999999999996,"LogNormal",43,3000,40
"SCP",0.969,6.97650079596506,0,"Student-t",43,3000,40
"RSA-CP (OT) (Ours)",0.957,6.14707329714854,0,"Student-t",43,3000,40
"SPI",0.9895,10.3267505141083,0.0500000000000114,"Student-t",43,3000,40
"Synthetic-only",0.9915,10.9594407590478,0,"Student-t",43,3000,40
"SCP",0.8485,5.88814950519324,0,"LogNormal",44,3000,40
"RSA-CP (OT) (Ours)",0.819,5.41227878748074,0,"LogNormal",44,3000,40
"SPI",0.9005,6.99228426309978,0.0600000000000023,"LogNormal",44,3000,40
"Synthetic-only",0.9695,10.6265204132647,0.0100000000000051,"LogNormal",44,3000,40
"SCP",0.928,5.08854708105842,0,"Student-t",44,3000,40
"RSA-CP (OT) (Ours)",0.9205,4.85925809771445,0,"Student-t",44,3000,40
"SPI",0.9855,9.08335720758405,0.0499999999999972,"Student-t",44,3000,40
"Synthetic-only",0.9945,12.1670759263185,0,"Student-t",44,3000,40
"SCP",0.942,8.35452344948252,0,"LogNormal",45,3000,40
"RSA-CP (OT) (Ours)",0.9185,7.56287536872183,0.019999999999996,"LogNormal",45,3000,40
"SPI",0.9635,9.84759016982303,0.039999999999992,"LogNormal",45,3000,40
"Synthetic-only",0.963,9.82826773604576,0,"LogNormal",45,3000,40
"SCP",0.9595,6.3714787717566,0,"Student-t",45,3000,40
"RSA-CP (OT) (Ours)",0.9385,5.37573531741616,0,"Student-t",45,3000,40
"SPI",0.9915,11.4086799000262,0.0500000000000114,"Student-t",45,3000,40
"Synthetic-only",0.9915,11.3499305329261,0,"Student-t",45,3000,40
"SCP",0.9365,8.14466816065432,0,"LogNormal",46,3000,40
"RSA-CP (OT) (Ours)",0.9285,7.88680739399681,0,"LogNormal",46,3000,40
"SPI",0.938,8.19811754522591,0.0600000000000023,"LogNormal",46,3000,40
"Synthetic-only",0.989,13.9599703995266,0.0100000000000051,"LogNormal",46,3000,40
"SCP",0.9915,10.9603371874355,0,"Student-t",46,3000,40
"RSA-CP (OT) (Ours)",0.9875,9.49187596296133,0,"Student-t",46,3000,40
"SPI",0.9945,12.2216943415107,0.0499999999999972,"Student-t",46,3000,40
"Synthetic-only",0.9945,12.2180540852087,0,"Student-t",46,3000,40
"SCP",0.959,9.32281725660939,0,"LogNormal",47,3000,40
"RSA-CP (OT) (Ours)",0.957,9.26344541973199,0.019999999999996,"LogNormal",47,3000,40
"SPI",0.958,9.2928395155304,0.039999999999992,"LogNormal",47,3000,40
"Synthetic-only",0.9495,8.75754247263948,0,"LogNormal",47,3000,40
"SCP",0.966,6.71557376243573,0,"Student-t",47,3000,40
"RSA-CP (OT) (Ours)",0.9645,6.61667305877069,0,"Student-t",47,3000,40
"SPI",0.9905,10.7220350669272,0.0700000000000074,"Student-t",47,3000,40
"Synthetic-only",0.99,10.6133470810567,0,"Student-t",47,3000,40
"SCP",0.905,7.09641295964713,0,"LogNormal",48,3000,40
"RSA-CP (OT) (Ours)",0.8875,6.67241351893982,0.0100000000000051,"LogNormal",48,3000,40
"SPI",0.9615,9.56619693591618,0.0499999999999972,"LogNormal",48,3000,40
"Synthetic-only",0.982,12.4370612429503,0,"LogNormal",48,3000,40
"SCP",0.8625,3.86861096218508,0,"Student-t",48,3000,40
"RSA-CP (OT) (Ours)",0.8545,3.74483873106709,0.0600000000000023,"Student-t",48,3000,40
"SPI",0.992,11.5226912073026,0.0499999999999972,"Student-t",48,3000,40
"Synthetic-only",0.992,11.4701054521735,0,"Student-t",48,3000,40
"SCP",0.908,7.17239537398122,0,"LogNormal",49,3000,40
"RSA-CP (OT) (Ours)",0.902,7.0283819325174,0,"LogNormal",49,3000,40
"SPI",0.942,8.35593786460457,0.0500000000000114,"LogNormal",49,3000,40
"Synthetic-only",0.9395,8.22197294649593,0,"LogNormal",49,3000,40
"SCP",0.9625,6.48596338207674,0,"Student-t",49,3000,40
"RSA-CP (OT) (Ours)",0.949,5.7204102403124,0.019999999999996,"Student-t",49,3000,40
"SPI",0.9685,6.93724805455204,0.0400000000000063,"Student-t",49,3000,40
"Synthetic-only",0.9915,10.8940081938821,0,"Student-t",49,3000,40
"SCP",0.9705,10.7285322520761,0,"LogNormal",50,3000,40
"RSA-CP (OT) (Ours)",0.963,9.67969848522255,0.019999999999996,"LogNormal",50,3000,40
"SPI",0.985,13.1331494238381,0.0499999999999972,"LogNormal",50,3000,40
"Synthetic-only",0.9815,12.3121193823932,0,"LogNormal",50,3000,40
"SCP",0.9195,4.81817602122175,0,"Student-t",50,3000,40
"RSA-CP (OT) (Ours)",0.886,4.2798156926481,0,"Student-t",50,3000,40
"SPI",0.9895,10.0602726461388,0.0600000000000023,"Student-t",50,3000,40
"Synthetic-only",0.9895,10.3000442309901,0.0100000000000051,"Student-t",50,3000,40
"SCP",0.967,10.1745107015257,0,"LogNormal",51,3000,40
"RSA-CP (OT) (Ours)",0.9495,8.70168262682802,0,"LogNormal",51,3000,40
"SPI",0.969,10.350982421682,0.0600000000000023,"LogNormal",51,3000,40
"Synthetic-only",0.9675,10.2655720003512,0.00999999999999091,"LogNormal",51,3000,40
"SCP",0.928,5.05647354284398,0,"Student-t",51,3000,40
"RSA-CP (OT) (Ours)",0.9065,4.60769987571513,0,"Student-t",51,3000,40
"SPI",0.9875,9.33851224359114,0.0499999999999972,"Student-t",51,3000,40
"Synthetic-only",0.992,11.5706197995867,0,"Student-t",51,3000,40
"SCP",0.9205,7.62333805021462,0,"LogNormal",52,3000,40
"RSA-CP (OT) (Ours)",0.911,7.32727200594616,0,"LogNormal",52,3000,40
"SPI",0.9695,10.6186969936579,0.0699999999999932,"LogNormal",52,3000,40
"Synthetic-only",0.988,13.682990478748,0,"LogNormal",52,3000,40
"SCP",0.9735,7.33947485425126,0,"Student-t",52,3000,40
"RSA-CP (OT) (Ours)",0.9645,6.58450695693028,0,"Student-t",52,3000,40
"SPI",0.982,8.23683735216915,0.0400000000000063,"Student-t",52,3000,40
"Synthetic-only",0.9915,11.3522421122244,0,"Student-t",52,3000,40
"SCP",0.954,9.09383358603349,0,"LogNormal",53,3000,40
"RSA-CP (OT) (Ours)",0.948,8.57505966950642,0,"LogNormal",53,3000,40
"SPI",0.953,9.05659143487495,0.039999999999992,"LogNormal",53,3000,40
"Synthetic-only",0.9495,8.75910162165601,0,"LogNormal",53,3000,40
"SCP",0.9975,13.9650320606124,0,"Student-t",53,3000,40
"RSA-CP (OT) (Ours)",0.99,10.6256552707853,0.0200000000000102,"Student-t",53,3000,40
"SPI",0.99,10.6660044048539,0.0499999999999972,"Student-t",53,3000,40
"Synthetic-only",0.99,10.636434432555,0,"Student-t",53,3000,40
"SCP",0.9275,7.85703449956647,0,"LogNormal",54,3000,40
"RSA-CP (OT) (Ours)",0.9185,7.51821241570684,0.0100000000000051,"LogNormal",54,3000,40
"SPI",0.9685,10.3051532245277,0.0499999999999972,"LogNormal",54,3000,40
"Synthetic-only",0.963,9.81451275026996,0,"LogNormal",54,3000,40
"SCP",0.968,6.90045963654829,0,"Student-t",54,3000,40
"RSA-CP (OT) (Ours)",0.957,6.20442755541839,0,"Student-t",54,3000,40
"SPI",0.9905,10.7199454597575,0.0600000000000023,"Student-t",54,3000,40
"Synthetic-only",0.9905,10.6859430455708,0,"Student-t",54,3000,40
"SCP",0.977,11.6380857528231,0,"LogNormal",55,3000,40
"RSA-CP (OT) (Ours)",0.9735,11.0315600828831,0,"LogNormal",55,3000,40
"SPI",0.9865,13.2695826356034,0.0599999999999881,"LogNormal",55,3000,40
"Synthetic-only",0.985,13.0952022753758,0.019999999999996,"LogNormal",55,3000,40
"SCP",0.9855,8.95202702584368,0,"Student-t",55,3000,40
"RSA-CP (OT) (Ours)",0.982,8.23929603273147,0,"Student-t",55,3000,40
"SPI",0.9895,10.0883542283908,0.0500000000000114,"Student-t",55,3000,40
"Synthetic-only",0.9935,11.9092689295741,0,"Student-t",55,3000,40
"SCP",0.963,9.72466070852969,0,"LogNormal",56,3000,40
"RSA-CP (OT) (Ours)",0.945,8.51299303533757,0,"LogNormal",56,3000,40
"SPI",0.978,11.7932386451083,0.039999999999992,"LogNormal",56,3000,40
"Synthetic-only",0.9775,11.703403147132,0,"LogNormal",56,3000,40
"SCP",0.8945,4.39762161162426,0,"Student-t",56,3000,40
"RSA-CP (OT) (Ours)",0.8735,4.03709840698118,0.0200000000000102,"Student-t",56,3000,40
"SPI",0.9275,5.03709319984678,0.0499999999999972,"Student-t",56,3000,40
"Synthetic-only",0.992,11.4911139177638,0,"Student-t",56,3000,40
"SCP",0.8485,5.90542287761172,0,"LogNormal",57,3000,40
"RSA-CP (OT) (Ours)",0.8475,5.85883398023231,0.0100000000000051,"LogNormal",57,3000,40
"SPI",0.942,8.35993302341424,0.0499999999999972,"LogNormal",57,3000,40
"Synthetic-only",0.9505,8.78556059824338,0,"LogNormal",57,3000,40
"SCP",0.952,5.91497981828468,0,"Student-t",57,3000,40
"RSA-CP (OT) (Ours)",0.948,5.70234373440262,0,"Student-t",57,3000,40
"SPI",0.9645,6.61042651786016,0.0499999999999972,"Student-t",57,3000,40
"Synthetic-only",0.9945,12.2865318973917,0,"Student-t",57,3000,40
"SCP",0.96,9.41075772720833,0,"LogNormal",58,3000,40
"RSA-CP (OT) (Ours)",0.9565,9.24553779100477,0,"LogNormal",58,3000,40
"SPI",0.976,11.4910876774043,0.0599999999999881,"LogNormal",58,3000,40
"Synthetic-only",0.976,11.4124226037179,0.019999999999996,"LogNormal",58,3000,40
"SCP",0.9675,6.83082574768036,0,"Student-t",58,3000,40
"RSA-CP (OT) (Ours)",0.956,6.12515883516614,0,"Student-t",58,3000,40
"SPI",0.9875,9.52382812601297,0.0500000000000114,"Student-t",58,3000,40
"Synthetic-only",0.994,11.9637543427676,0,"Student-t",58,3000,40
"SCP",0.9565,9.2123097293686,0,"LogNormal",59,3000,40
"RSA-CP (OT) (Ours)",0.934,8.09435495699673,0,"LogNormal",59,3000,40
"SPI",0.9425,8.41537544853985,0.039999999999992,"LogNormal",59,3000,40
"Synthetic-only",0.9425,8.38705643723467,0,"LogNormal",59,3000,40
"SCP",0.982,8.3618316555807,0,"Student-t",59,3000,40
"RSA-CP (OT) (Ours)",0.982,8.16074132560631,0.0200000000000102,"Student-t",59,3000,40
"SPI",0.995,12.7379631344437,0.0499999999999972,"Student-t",59,3000,40
"Synthetic-only",0.9945,12.6394325063058,0,"Student-t",59,3000,40
"SCP",0.8415,5.74570997604226,0,"LogNormal",60,3000,40
"RSA-CP (OT) (Ours)",0.829,5.60636267194961,0,"LogNormal",60,3000,40
"SPI",0.8585,6.04719081168149,0.0499999999999972,"LogNormal",60,3000,40
"Synthetic-only",0.947,8.56446197494421,0,"LogNormal",60,3000,40
"SCP",0.993,11.782209464128,0,"Student-t",60,3000,40
"RSA-CP (OT) (Ours)",0.989,9.94629391875927,0.00999999999999091,"Student-t",60,3000,40
"SPI",0.9925,11.6802196087601,0.0500000000000114,"Student-t",60,3000,40
"Synthetic-only",0.992,11.458774509783,0,"Student-t",60,3000,40
"SCP",0.979,11.949879498474,0,"LogNormal",61,3000,40
"RSA-CP (OT) (Ours)",0.9695,10.5377470068028,0.019999999999996,"LogNormal",61,3000,40
"SPI",0.963,9.79965950901847,0.039999999999992,"LogNormal",61,3000,40
"Synthetic-only",0.9565,9.2155243969421,0,"LogNormal",61,3000,40
"SCP",0.9435,5.58418970180919,0,"Student-t",61,3000,40
"RSA-CP (OT) (Ours)",0.9355,5.30596191674964,0,"Student-t",61,3000,40
"SPI",0.9915,10.9113295411513,0.0700000000000074,"Student-t",61,3000,40
"Synthetic-only",0.9915,11.0527380490882,0.0200000000000102,"Student-t",61,3000,40
"SCP",0.9945,17.1705944888419,0,"LogNormal",62,3000,40
"RSA-CP (OT) (Ours)",0.982,12.3845271126862,0.0100000000000051,"LogNormal",62,3000,40
"SPI",0.9795,12.0878566576578,0.0499999999999972,"LogNormal",62,3000,40
"Synthetic-only",0.9795,12.0486202869873,0,"LogNormal",62,3000,40
"SCP",0.9805,7.9021216833679,0,"Student-t",62,3000,40
"RSA-CP (OT) (Ours)",0.972,7.20561747537845,0,"Student-t",62,3000,40
"SPI",0.9905,10.7218163324347,0.0600000000000023,"Student-t",62,3000,40
"Synthetic-only",0.994,11.9853598465082,0.00999999999999091,"Student-t",62,3000,40
"SCP",0.9115,7.34496128808111,0,"LogNormal",63,3000,40
"RSA-CP (OT) (Ours)",0.9015,7.00604192730347,0.019999999999996,"LogNormal",63,3000,40
"SPI",0.922,7.69463496200849,0.039999999999992,"LogNormal",63,3000,40
"Synthetic-only",0.961,9.5381457204933,0,"LogNormal",63,3000,40
"SCP",0.974,7.41141681857363,0,"Student-t",63,3000,40
"RSA-CP (OT) (Ours)",0.9675,6.83803146271265,0,"Student-t",63,3000,40
"SPI",0.9775,7.72519830434414,0.0500000000000114,"Student-t",63,3000,40
"Synthetic-only",0.9945,12.1887381483712,0,"Student-t",63,3000,40
"SCP",0.86,6.06352463571626,0,"LogNormal",64,3000,40
"RSA-CP (OT) (Ours)",0.8355,5.67446656601384,0,"LogNormal",64,3000,40
"SPI",0.975,11.2558445986826,0.0600000000000023,"LogNormal",64,3000,40
"Synthetic-only",0.976,11.4092060182931,0.0100000000000051,"LogNormal",64,3000,40
"SCP",0.903,4.49953254959512,0,"Student-t",64,3000,40
"RSA-CP (OT) (Ours)",0.8845,4.24262180291194,0,"Student-t",64,3000,40
"SPI",0.918,4.78223927714242,0.0499999999999972,"Student-t",64,3000,40
"Synthetic-only",0.9915,11.4019120868358,0,"Student-t",64,3000,40
"SCP",0.9885,13.7213002252981,0,"LogNormal",65,3000,40
"RSA-CP (OT) (Ours)",0.9815,12.3151564490213,0,"LogNormal",65,3000,40
"SPI",0.9765,11.5890419682321,0.0499999999999972,"LogNormal",65,3000,40
"Synthetic-only",0.945,8.46917907305383,0,"LogNormal",65,3000,40
"SCP",0.9345,5.2706954855641,0,"Student-t",65,3000,40
"RSA-CP (OT) (Ours)",0.927,5.00559111241716,0.00999999999999091,"Student-t",65,3000,40
"SPI",0.941,5.51661606560021,0.0500000000000114,"Student-t",65,3000,40
"Synthetic-only",0.9885,9.84206660675358,0,"Student-t",65,3000,40
"SCP",0.9015,7.01578219849151,0,"LogNormal",66,3000,40
"RSA-CP (OT) (Ours)",0.8815,6.49896170808422,0,"LogNormal",66,3000,40
"SPI",0.9525,8.89777268991882,0.0400000000000063,"LogNormal",66,3000,40
"Synthetic-only",0.9505,8.84425640993134,0,"LogNormal",66,3000,40
"SCP",0.982,8.18071992044754,0,"Student-t",66,3000,40
"RSA-CP (OT) (Ours)",0.976,7.55211862221106,0.019999999999996,"Student-t",66,3000,40
"SPI",0.9945,12.4615097805221,0.0499999999999972,"Student-t",66,3000,40
"Synthetic-only",0.9945,12.4325495842624,0,"Student-t",66,3000,40
"SCP",0.886,6.62567293394752,0,"LogNormal",67,3000,40
"RSA-CP (OT) (Ours)",0.871,6.22830737541853,0.00999999999999091,"LogNormal",67,3000,40
"SPI",0.9205,7.61658440034778,0.0500000000000114,"LogNormal",67,3000,40
"Synthetic-only",0.989,13.9391992474198,0,"LogNormal",67,3000,40
"SCP",0.861,3.83633972954415,0,"Student-t",67,3000,40
"RSA-CP (OT) (Ours)",0.834,3.47841697009281,0.00999999999999091,"Student-t",67,3000,40
"SPI",0.923,4.90937349057405,0.0300000000000011,"Student-t",67,3000,40
"Synthetic-only",0.9915,11.3192965839751,0,"Student-t",67,3000,40
"SCP",0.94,8.22611044129499,0,"LogNormal",68,3000,40
"RSA-CP (OT) (Ours)",0.911,7.33471430248839,0.0199999999999818,"LogNormal",68,3000,40
"SPI",0.941,8.29279270967939,0.0400000000000205,"LogNormal",68,3000,40
"Synthetic-only",0.9815,12.2863642837999,0,"LogNormal",68,3000,40
"SCP",0.9675,6.85947914421475,0,"Student-t",68,3000,40
"RSA-CP (OT) (Ours)",0.957,6.14707329714854,0,"Student-t",68,3000,40
"SPI",0.972,7.24917560402549,0.0499999999999829,"Student-t",68,3000,40
"Synthetic-only",0.9925,11.6713501898413,0,"Student-t",68,3000,40
"SCP",0.9505,8.83291933168647,0,"LogNormal",69,3000,40
"RSA-CP (OT) (Ours)",0.911,7.31233410648994,0,"LogNormal",69,3000,40
"SPI",0.959,9.32036488863615,0.0600000000000023,"LogNormal",69,3000,40
"Synthetic-only",0.9555,9.18952351029759,0,"LogNormal",69,3000,40
"SCP",0.9585,6.31614022266818,0,"Student-t",69,3000,40
"RSA-CP (OT) (Ours)",0.958,6.24475647071593,0,"Student-t",69,3000,40
"SPI",0.9875,9.72313557987963,0.039999999999992,"Student-t",69,3000,40
"Synthetic-only",0.9945,12.107569368109,0,"Student-t",69,3000,40
"SCP",0.8095,5.28632543171439,0,"LogNormal",70,3000,40
"RSA-CP (OT) (Ours)",0.8045,5.23100175276989,0,"LogNormal",70,3000,40
"SPI",0.843,5.76788887404491,0.0600000000000023,"LogNormal",70,3000,40
"Synthetic-only",0.963,9.73514501151714,0.0199999999999818,"LogNormal",70,3000,40
"SCP",0.94,5.44590234401054,0,"Student-t",70,3000,40
"RSA-CP (OT) (Ours)",0.9295,5.1551493658991,0,"Student-t",70,3000,40
"SPI",0.9565,6.12730515205313,0.0499999999999829,"Student-t",70,3000,40
"Synthetic-only",0.9945,12.1219918741211,0,"Student-t",70,3000,40
"SCP",0.9055,7.12130071061009,0,"LogNormal",71,3000,40
"RSA-CP (OT) (Ours)",0.8805,6.44610830799122,0,"LogNormal",71,3000,40
"SPI",0.9425,8.4107115523822,0.039999999999992,"LogNormal",71,3000,40
"Synthetic-only",0.9425,8.40031921223915,0,"LogNormal",71,3000,40
"SCP",0.9125,4.67607890782532,0,"Student-t",71,3000,40
"RSA-CP (OT) (Ours)",0.8825,4.18369650009372,0.0200000000000102,"Student-t",71,3000,40
"SPI",0.9875,9.59516338312141,0.039999999999992,"Student-t",71,3000,40
"Synthetic-only",0.9915,11.1553280665991,0,"Student-t",71,3000,40
"SCP",0.9185,7.55315095007488,0,"LogNormal",72,3000,40
"RSA-CP (OT) (Ours)",0.909,7.23627945011783,0,"LogNormal",72,3000,40
"SPI",0.945,8.5013887179156,0.0499999999999829,"LogNormal",72,3000,40
"Synthetic-only",0.9445,8.44133663475897,0,"LogNormal",72,3000,40
"SCP",0.949,5.75254337240093,0,"Student-t",72,3000,40
"RSA-CP (OT) (Ours)",0.928,5.0950660128124,0.0100000000000193,"Student-t",72,3000,40
"SPI",0.95,5.81184396236902,0.0499999999999829,"Student-t",72,3000,40
"Synthetic-only",0.992,11.4711329326333,0,"Student-t",72,3000,40
"SCP",0.9175,7.49183778241846,0,"LogNormal",73,3000,40
"RSA-CP (OT) (Ours)",0.863,6.09233852179793,0.0200000000000102,"LogNormal",73,3000,40
"SPI",0.946,8.53479885205101,0.039999999999992,"LogNormal",73,3000,40
"Synthetic-only",0.958,9.30006919765628,0,"LogNormal",73,3000,40
"SCP",0.9545,6.07934915593173,0,"Student-t",73,3000,40
"RSA-CP (OT) (Ours)",0.928,5.09328930335165,0.0200000000000102,"Student-t",73,3000,40
"SPI",0.9915,11.3442508047191,0.039999999999992,"Student-t",73,3000,40
"Synthetic-only",0.9915,11.3174847057952,0,"Student-t",73,3000,40
"SCP",0.965,9.90673013707775,0,"LogNormal",74,3000,40
"RSA-CP (OT) (Ours)",0.9425,8.40630535076796,0.0200000000000102,"LogNormal",74,3000,40
"SPI",0.9435,8.42136619027291,0.0499999999999829,"LogNormal",74,3000,40
"Synthetic-only",0.9415,8.33595790640424,0,"LogNormal",74,3000,40
"SCP",0.951,5.88289295962075,0,"Student-t",74,3000,40
"RSA-CP (OT) (Ours)",0.9445,5.6132083192001,0,"Student-t",74,3000,40
"SPI",0.983,8.68843658825399,0.0600000000000023,"Student-t",74,3000,40
"Synthetic-only",0.9915,11.3184292290556,0,"Student-t",74,3000,40
"SCP",0.9905,15.0154752068505,0,"LogNormal",75,3000,40
"RSA-CP (OT) (Ours)",0.982,12.4817402017854,0.0200000000000102,"LogNormal",75,3000,40
"SPI",0.9735,11.027635161911,0.039999999999992,"LogNormal",75,3000,40
"Synthetic-only",0.9515,8.85887471378923,0,"LogNormal",75,3000,40
"SCP",0.862,3.85348960917039,0,"Student-t",75,3000,40
"RSA-CP (OT) (Ours)",0.8575,3.76691344009047,0,"Student-t",75,3000,40
"SPI",0.91,4.65804603027586,0.0600000000000023,"Student-t",75,3000,40
"Synthetic-only",0.9915,11.3757083148788,0,"Student-t",75,3000,40
"SCP",0.962,9.61092847627081,0,"LogNormal",76,3000,40
"RSA-CP (OT) (Ours)",0.9335,8.07901634511021,0.0200000000000102,"LogNormal",76,3000,40
"SPI",0.9735,11.036477042415,0.0499999999999829,"LogNormal",76,3000,40
"Synthetic-only",0.99,14.5520614639011,0,"LogNormal",76,3000,40
"SCP",0.972,7.29717987751266,0,"Student-t",76,3000,40
"RSA-CP (OT) (Ours)",0.9545,6.04842259417074,0,"Student-t",76,3000,40
"SPI",0.9915,11.2816479460722,0.0600000000000023,"Student-t",76,3000,40
"Synthetic-only",0.9915,11.1234573717994,0,"Student-t",76,3000,40
"SCP",0.929,7.9128189507977,0,"LogNormal",77,3000,40
"RSA-CP (OT) (Ours)",0.917,7.48621622070518,0.0200000000000102,"LogNormal",77,3000,40
"SPI",0.938,8.18700691952702,0.039999999999992,"LogNormal",77,3000,40
"Synthetic-only",0.9525,8.99431467649339,0,"LogNormal",77,3000,40
"SCP",0.936,5.31792363490957,0,"Student-t",77,3000,40
"RSA-CP (OT) (Ours)",0.933,5.21152338673267,0,"Student-t",77,3000,40
"SPI",0.9585,6.29478588988786,0.0500000000000114,"Student-t",77,3000,40
"Synthetic-only",0.9915,10.987223097347,0.0200000000000102,"Student-t",77,3000,40
"SCP",0.9775,11.7779606097257,0,"LogNormal",78,3000,40
