"Method","Cov","Width","Time","Dataset","Trial","N","N_cal"
"SPI",0.9915,11.1463592556088,0.019999999999996,"Student-t",14,3000,20
"Synthetic-only",0.9915,11.1453545670992,0,"Student-t",14,3000,20
"SCP",0.9735,11.029264664415,0,"LogNormal",15,3000,20
"RSA-CP (OT) (Ours)",0.923,7.70931012463218,0,"LogNormal",15,3000,20
"SPI",0.929,7.92232352549133,0.0400000000000063,"LogNormal",15,3000,20
"Synthetic-only",0.929,7.89093151877336,0,"LogNormal",15,3000,20
"SCP",0.974,7.38013636896107,0,"Student-t",15,3000,20
"RSA-CP (OT) (Ours)",0.8675,3.94799528882083,0,"Student-t",15,3000,20
"SPI",0.9935,11.8971378291538,0.0300000000000011,"Student-t",15,3000,20
"Synthetic-only",0.9935,11.8790753324389,0,"Student-t",15,3000,20
"SCP",0.924,7.75299005801508,0,"LogNormal",16,3000,20
"RSA-CP (OT) (Ours)",0.923,7.71537614385552,0.0100000000000051,"LogNormal",16,3000,20
"SPI",0.9595,9.3412657149645,0.0299999999999869,"LogNormal",16,3000,20
"Synthetic-only",0.9575,9.2904740649579,0,"LogNormal",16,3000,20
"SCP",0.9975,14.0838640542905,0,"Student-t",16,3000,20
"RSA-CP (OT) (Ours)",0.9545,6.05321967381642,0,"Student-t",16,3000,20
"SPI",0.9945,12.2254138806237,0.0300000000000011,"Student-t",16,3000,20
"Synthetic-only",0.9945,12.1829840712892,0,"Student-t",16,3000,20
"SCP",0.9875,13.599136126228,0,"LogNormal",17,3000,20
"RSA-CP (OT) (Ours)",0.9815,12.3493348414823,0.0200000000000102,"LogNormal",17,3000,20
"SPI",0.979,11.9948326458722,0.019999999999996,"LogNormal",17,3000,20
"Synthetic-only",0.966,10.0299694065025,0,"LogNormal",17,3000,20
"SCP",0.982,8.50952184216974,0,"Student-t",17,3000,20
"RSA-CP (OT) (Ours)",0.9645,6.58127405625001,0.0100000000000051,"Student-t",17,3000,20
"SPI",0.9905,10.7933803913041,0.019999999999996,"Student-t",17,3000,20
"Synthetic-only",0.9905,10.7759637173954,0,"Student-t",17,3000,20
"SCP",0.812,5.3412671464268,0,"LogNormal",18,3000,20
"RSA-CP (OT) (Ours)",0.7895,5.03598473140114,0,"LogNormal",18,3000,20
"SPI",0.984,12.7918683650568,0.0299999999999869,"LogNormal",18,3000,20
"Synthetic-only",0.9835,12.6954599040502,0.019999999999996,"LogNormal",18,3000,20
"SCP",0.8495,3.67287558345382,0,"Student-t",18,3000,20
"RSA-CP (OT) (Ours)",0.8405,3.57450678115819,0.0200000000000102,"Student-t",18,3000,20
"SPI",0.992,11.5860047130134,0.019999999999996,"Student-t",18,3000,20
"Synthetic-only",0.9915,11.4227098330358,0,"Student-t",18,3000,20
"SCP",0.964,9.87083158052758,0,"LogNormal",19,3000,20
"RSA-CP (OT) (Ours)",0.9015,7.01070014674859,0,"LogNormal",19,3000,20
"SPI",0.97,10.6798748151499,0.0300000000000011,"LogNormal",19,3000,20
"Synthetic-only",0.9645,9.8754626186157,0.019999999999996,"LogNormal",19,3000,20
"SCP",0.9805,7.89074671464164,0,"Student-t",19,3000,20
"RSA-CP (OT) (Ours)",0.9545,6.0675651828724,0.019999999999996,"Student-t",19,3000,20
"SPI",0.9935,11.8462606465361,0.0300000000000011,"Student-t",19,3000,20
"Synthetic-only",0.9925,11.6785694833791,0,"Student-t",19,3000,20
"SCP",0.9755,11.2934687671619,0,"LogNormal",20,3000,20
"RSA-CP (OT) (Ours)",0.9735,11.0291932460527,0.00999999999999091,"LogNormal",20,3000,20
"SPI",0.974,11.1410174342597,0.0200000000000102,"LogNormal",20,3000,20
"Synthetic-only",0.9495,8.68594204695581,0,"LogNormal",20,3000,20
"SCP",0.9245,4.9383766102421,0,"Student-t",20,3000,20
"RSA-CP (OT) (Ours)",0.9065,4.60769987571513,0.019999999999996,"Student-t",20,3000,20
"SPI",0.991,10.8392821582463,0.0100000000000051,"Student-t",20,3000,20
"Synthetic-only",0.9905,10.7325216426989,0,"Student-t",20,3000,20
"SCP",0.7905,5.05588316966096,0,"LogNormal",21,3000,20
"RSA-CP (OT) (Ours)",0.772,4.88103135505034,0,"LogNormal",21,3000,20
"SPI",0.9605,9.51730717121533,0.0300000000000011,"LogNormal",21,3000,20
"Synthetic-only",0.96,9.47392094893361,0.0100000000000051,"LogNormal",21,3000,20
"SCP",0.982,8.35708051470203,0,"Student-t",21,3000,20
"RSA-CP (OT) (Ours)",0.949,5.76230847746998,0,"Student-t",21,3000,20
"SPI",0.9935,11.8643350669936,0.0300000000000011,"Student-t",21,3000,20
"Synthetic-only",0.9935,11.8548721493701,0.00999999999999091,"Student-t",21,3000,20
"SCP",0.9755,11.3546365077452,0,"LogNormal",22,3000,20
"RSA-CP (OT) (Ours)",0.9565,9.21990322386623,0,"LogNormal",22,3000,20
"SPI",0.962,9.64425488138894,0.0300000000000011,"LogNormal",22,3000,20
"Synthetic-only",0.9615,9.56592935983956,0,"LogNormal",22,3000,20
"SCP",0.8295,3.43345696494497,0,"Student-t",22,3000,20
"RSA-CP (OT) (Ours)",0.827,3.39361339162985,0,"Student-t",22,3000,20
"SPI",0.9935,11.9057568168257,0.0300000000000011,"Student-t",22,3000,20
"Synthetic-only",0.9935,11.8480042230997,0,"Student-t",22,3000,20
"SCP",0.98,12.1227793072004,0,"LogNormal",23,3000,20
"RSA-CP (OT) (Ours)",0.969,10.4402562480037,0.00999999999999091,"LogNormal",23,3000,20
"SPI",0.9815,12.283763105852,0.0200000000000102,"LogNormal",23,3000,20
"Synthetic-only",0.9815,12.2742382828513,0,"LogNormal",23,3000,20
"SCP",0.9505,5.84318989410747,0,"Student-t",23,3000,20
"RSA-CP (OT) (Ours)",0.843,3.59053348532609,0.00999999999999091,"Student-t",23,3000,20
"SPI",0.992,11.5829763563939,0.0200000000000102,"Student-t",23,3000,20
"Synthetic-only",0.992,11.5720782603446,0,"Student-t",23,3000,20
"SCP",0.9905,15.1446285681586,0,"LogNormal",24,3000,20
"RSA-CP (OT) (Ours)",0.9755,11.3390718406037,0,"LogNormal",24,3000,20
"SPI",0.9785,11.8765784213256,0.0300000000000011,"LogNormal",24,3000,20
"Synthetic-only",0.9735,11.093129769392,0,"LogNormal",24,3000,20
"SCP",0.92,4.83829438225558,0,"Student-t",24,3000,20
"RSA-CP (OT) (Ours)",0.8735,4.03950530955476,0,"Student-t",24,3000,20
"SPI",0.99,10.6554881444436,0.0300000000000011,"Student-t",24,3000,20
"Synthetic-only",0.9895,10.3863356528229,0.0100000000000051,"Student-t",24,3000,20
"SCP",0.992,16.2235888236938,0,"LogNormal",25,3000,20
"RSA-CP (OT) (Ours)",0.9305,8.01222873914125,0,"LogNormal",25,3000,20
"SPI",0.954,9.12643164517011,0.0400000000000063,"LogNormal",25,3000,20
"Synthetic-only",0.953,9.0201358782034,0,"LogNormal",25,3000,20
"SCP",0.9915,11.1579702191217,0,"Student-t",25,3000,20
"RSA-CP (OT) (Ours)",0.9825,8.59307452106131,0,"Student-t",25,3000,20
"SPI",0.992,11.4361772485915,0.0300000000000011,"Student-t",25,3000,20
"Synthetic-only",0.9915,11.3845365452801,0,"Student-t",25,3000,20
"SCP",0.9695,10.5852782272138,0,"LogNormal",26,3000,20
"RSA-CP (OT) (Ours)",0.8855,6.607261015691,0.0100000000000051,"LogNormal",26,3000,20
"SPI",0.987,13.540989590237,0.0299999999999869,"LogNormal",26,3000,20
"Synthetic-only",0.9865,13.3720255583595,0,"LogNormal",26,3000,20
"SCP",0.971,7.11065184850352,0,"Student-t",26,3000,20
"RSA-CP (OT) (Ours)",0.969,6.95318573255013,0,"Student-t",26,3000,20
"SPI",0.9925,11.6610211986655,0.0300000000000011,"Student-t",26,3000,20
"Synthetic-only",0.9925,11.6426702695216,0,"Student-t",26,3000,20
"SCP",0.99,14.4809984392462,0,"LogNormal",27,3000,20
"RSA-CP (OT) (Ours)",0.9565,9.24076253792738,0.0200000000000102,"LogNormal",27,3000,20
"SPI",0.986,13.2513560002345,0.019999999999996,"LogNormal",27,3000,20
"Synthetic-only",0.986,13.2476485907895,0,"LogNormal",27,3000,20
"SCP",0.9025,4.49669165426941,0,"Student-t",27,3000,20
"RSA-CP (OT) (Ours)",0.8675,3.9535694657972,0.0100000000000051,"Student-t",27,3000,20
"SPI",0.9925,11.6956846429536,0.019999999999996,"Student-t",27,3000,20
"Synthetic-only",0.9925,11.6896827284556,0,"Student-t",27,3000,20
"SCP",0.9115,7.33946884497221,0,"LogNormal",28,3000,20
"RSA-CP (OT) (Ours)",0.863,6.12464999871113,0,"LogNormal",28,3000,20
"SPI",0.9495,8.70062128281596,0.0299999999999869,"LogNormal",28,3000,20
"Synthetic-only",0.9495,8.68292331052206,0,"LogNormal",28,3000,20
"SCP",0.958,6.2614926529173,0,"Student-t",28,3000,20
"RSA-CP (OT) (Ours)",0.9535,6.00916168884899,0,"Student-t",28,3000,20
"SPI",0.9895,10.3785582245669,0.0400000000000063,"Student-t",28,3000,20
"Synthetic-only",0.9895,10.3221029689707,0.0200000000000102,"Student-t",28,3000,20
"SCP",0.9715,10.7530158759546,0,"LogNormal",29,3000,20
"RSA-CP (OT) (Ours)",0.9495,8.69305161107387,0.0100000000000051,"LogNormal",29,3000,20
"SPI",0.963,9.81565875810053,0.0300000000000011,"LogNormal",29,3000,20
"Synthetic-only",0.963,9.72320800999229,0,"LogNormal",29,3000,20
"SCP",0.9365,5.34615267055558,0,"Student-t",29,3000,20
"RSA-CP (OT) (Ours)",0.929,5.12650134518526,0,"Student-t",29,3000,20
"SPI",0.992,11.5416233141174,0.0299999999999869,"Student-t",29,3000,20
"Synthetic-only",0.992,11.4519335369597,0,"Student-t",29,3000,20
"SCP",0.96,9.45193863283554,0,"LogNormal",30,3000,20
"RSA-CP (OT) (Ours)",0.9215,7.66216231076668,0.0200000000000102,"LogNormal",30,3000,20
"SPI",0.9895,14.4100680397149,0.00999999999999091,"LogNormal",30,3000,20
"Synthetic-only",0.9895,14.3019573973321,0,"LogNormal",30,3000,20
"SCP",0.9815,8.09061545436391,0,"Student-t",30,3000,20
"RSA-CP (OT) (Ours)",0.957,6.17452915112012,0,"Student-t",30,3000,20
"SPI",0.9925,11.6571845484524,0.019999999999996,"Student-t",30,3000,20
"Synthetic-only",0.9925,11.6360629359632,0,"Student-t",30,3000,20
"SCP",0.9505,8.77945017360411,0,"LogNormal",31,3000,20
"RSA-CP (OT) (Ours)",0.939,8.2187880926888,0,"LogNormal",31,3000,20
"SPI",0.9425,8.40402481184204,0.0300000000000011,"LogNormal",31,3000,20
"Synthetic-only",0.9425,8.39888184815873,0.019999999999996,"LogNormal",31,3000,20
"SCP",0.9875,9.48695150167203,0,"Student-t",31,3000,20
"RSA-CP (OT) (Ours)",0.986,9.11161951725276,0,"Student-t",31,3000,20
"SPI",0.9915,10.8841957959921,0.0299999999999869,"Student-t",31,3000,20
"Synthetic-only",0.991,10.8749111665563,0.019999999999996,"Student-t",31,3000,20
"SCP",0.992,16.333471002151,0,"LogNormal",32,3000,20
"RSA-CP (OT) (Ours)",0.9525,8.89940710426231,0,"LogNormal",32,3000,20
"SPI",0.974,11.1670780423152,0.0300000000000011,"LogNormal",32,3000,20
"Synthetic-only",0.9735,11.0625832024394,0,"LogNormal",32,3000,20
"SCP",0.982,8.28014309257739,0,"Student-t",32,3000,20
"RSA-CP (OT) (Ours)",0.9475,5.67201908795231,0,"Student-t",32,3000,20
"SPI",0.996,12.8957635016391,0.0300000000000011,"Student-t",32,3000,20
"Synthetic-only",0.996,12.8929785487423,0,"Student-t",32,3000,20
"SCP",0.988,13.7091433814648,0,"LogNormal",33,3000,20
"RSA-CP (OT) (Ours)",0.9735,11.1195368312849,0,"LogNormal",33,3000,20
"SPI",0.9865,13.2893048244042,0.0300000000000011,"LogNormal",33,3000,20
"Synthetic-only",0.985,13.1193679942733,0,"LogNormal",33,3000,20
"SCP",0.9965,12.99701807954,0,"Student-t",33,3000,20
"RSA-CP (OT) (Ours)",0.983,8.68978843660786,0,"Student-t",33,3000,20
